1571871170759 2019_10_23_17_52_50_759 2.734449 0.478300  0.000014786
2019_10_23_17_52_51_412 1571871171412 653 652 217 107.222  
2019_10_23_17_52_51_413 1571871171413 654 653 431 211.628  
2019_10_23_17_52_51_414 1571871171414 655 654 128 64.1991  
2019_10_23_17_52_51_414 1571871171414 655 654 409 200.833  
2019_10_23_17_52_51_414 1571871171414 655 654 375 184.176  
2019_10_23_17_52_51_414 1571871171414 655 654 640 314.903  
2019_10_23_17_52_51_414 1571871171414 655 654 563 276.704  
2019_10_23_17_52_51_415 1571871171415 656 655 236 116.437  
2019_10_23_17_52_51_415 1571871171415 656 655 87 44.4585  
2019_10_23_17_52_51_415 1571871171415 656 655 546 268.294  
2019_10_23_17_52_51_415 1571871171415 656 655 343 168.531  
2019_10_23_17_52_51_415 1571871171415 656 655 282 138.791  
2019_10_23_17_52_51_415 1571871171415 656 655 194 96.0811  
2019_10_23_17_52_51_415 1571871171415 656 655 488 239.666  
2019_10_23_17_52_51_415 1571871171415 656 655 274 134.899  
2019_10_23_17_52_51_415 1571871171415 656 655 534 262.363  
2019_10_23_17_52_51_416 1571871171416 657 656 326 160.232  
2019_10_23_17_52_51_416 1571871171416 657 655 399 195.93  
2019_10_23_17_52_51_416 1571871171416 657 655 448 219.98  
2019_10_23_17_52_51_416 1571871171416 657 655 510 250.513  
2019_10_23_17_52_51_416 1571871171416 657 655 4074 2196.73  
2019_10_23_17_52_51_416 1571871171416 657 655 222 109.646  
2019_10_23_17_52_51_416 1571871171416 657 655 393 192.99  
2019_10_23_17_52_51_416 1571871171416 657 655 581 285.618  
2019_10_23_17_52_51_416 1571871171416 657 655 278 136.845  
2019_10_23_17_52_51_417 1571871171417 658 656 598 294.045  
2019_10_23_17_52_51_417 1571871171417 658 656 986 488.713  
2019_10_23_17_52_51_417 1571871171417 658 656 182 90.2748  
2019_10_23_17_52_51_417 1571871171417 658 656 4095 2209.31  
2019_10_23_17_52_51_417 1571871171417 658 656 483 237.203  
2019_10_23_17_52_51_417 1571871171417 658 656 452 221.947  
2019_10_23_17_52_51_417 1571871171417 658 656 825 407.395  
2019_10_23_17_52_51_417 1571871171417 658 656 266 131.008  
2019_10_23_17_52_51_432 1571871171432 673 671 197 97.5334  
2019_10_23_17_52_51_439 1571871171439 680 677 75 38.6901  
2019_10_23_17_52_51_461 1571871171461 702 699 281 138.304  
2019_10_23_17_52_51_496 1571871171496 737 734 302 148.53  
2019_10_23_17_52_51_532 1571871171532 773 770 486 238.681  
2019_10_23_17_52_51_583 1571871171583 824 821 323 158.768  
2019_10_23_17_52_51_604 1571871171604 845 842 187 92.6936  
2019_10_23_17_52_51_606 1571871171606 847 844 160 79.641  
2019_10_23_17_52_51_607 1571871171607 848 845 740 364.773  
2019_10_23_17_52_51_608 1571871171608 849 846 2189 1120.58  
2019_10_23_17_52_51_611 1571871171611 852 849 222 109.646  
2019_10_23_17_52_51_653 1571871171653 894 891 305 149.991  
2019_10_23_17_52_51_677 1571871171677 918 915 371 182.219  
2019_10_23_17_52_51_698 1571871171698 939 936 181 89.7911  
2019_10_23_17_52_51_712 1571871171712 953 950 295 145.12  
2019_10_23_17_52_51_737 1571871171737 978 975 839 414.436  
2019_10_23_17_52_51_757 1571871171757 998 995 4095 2209.31  
2019_10_23_17_52_51_792 1571871171792 1033 1030 310 152.428  
2019_10_23_17_52_51_818 1571871171818 1059 1055 522 256.436  
2019_10_23_17_52_51_827 1571871171827 1068 1064 230 113.526  
2019_10_23_17_52_51_837 1571871171837 1078 1074 417 204.757  
2019_10_23_17_52_51_838 1571871171838 1079 1075 476 233.755  
2019_10_23_17_52_51_849 1571871171849 1090 1086 1328 663.993  
2019_10_23_17_52_51_850 1571871171850 1091 1087 88 44.9393  
2019_10_23_17_52_51_870 1571871171870 1111 1107 776 382.799  
2019_10_23_17_52_51_876 1571871171876 1117 1113 1311 655.198  
2019_10_23_17_52_51_884 1571871171884 1125 1121 535 262.857  
2019_10_23_17_52_51_918 1571871171918 1159 1155 186 92.2098  
2019_10_23_17_52_51_933 1571871171933 1174 1170 178 88.3403  
2019_10_23_17_52_51_956 1571871171956 1197 1193 170 84.4728  
2019_10_23_17_52_52_010 1571871172010 1251 1247 87 44.4585  
2019_10_23_17_52_52_015 1571871172015 1256 1252 316 155.354  
2019_10_23_17_52_52_046 1571871172046 1287 1283 359 176.35  
2019_10_23_17_52_52_074 1571871172074 1315 1311 275 135.385  
2019_10_23_17_52_52_095 1571871172095 1336 1332 69 35.8075  
2019_10_23_17_52_52_128 1571871172128 1369 1364 2765 1438.27  
2019_10_23_17_52_52_141 1571871172141 1382 1377 201 99.4701  
2019_10_23_17_52_52_175 1571871172175 1416 1411 153 76.2605  
2019_10_23_17_52_52_188 1571871172188 1429 1424 710 349.781  
2019_10_23_17_52_52_195 1571871172195 1436 1431 506 248.54  
2019_10_23_17_52_52_205 1571871172205 1446 1441 1307 653.13  
