1571937007730 2019_10_24_12_10_07_730 2.734449 0.478300  0.000014786
2019_10_24_12_10_07_731 1571937007731 1 0 384 188.582  
2019_10_24_12_10_07_731 1571937007731 1 0 322 158.28  
2019_10_24_12_10_07_731 1571937007731 1 0 688 338.804  
2019_10_24_12_10_07_731 1571937007731 1 0 223 110.131  
2019_10_24_12_10_07_731 1571937007731 1 0 533 261.869  
2019_10_24_12_10_07_731 1571937007731 1 0 710 349.781  
2019_10_24_12_10_07_731 1571937007731 1 0 204 100.923  
2019_10_24_12_10_07_732 1571937007732 2 1 564 277.199  
2019_10_24_12_10_07_732 1571937007732 2 1 660 324.853  
2019_10_24_12_10_07_732 1571937007732 2 1 314 154.378  
2019_10_24_12_10_07_732 1571937007732 2 1 736 362.773  
2019_10_24_12_10_07_732 1571937007732 2 1 496 243.609  
2019_10_24_12_10_07_732 1571937007732 2 1 234 115.466  
2019_10_24_12_10_07_732 1571937007732 2 1 182 90.2748  
2019_10_24_12_10_07_732 1571937007732 2 1 288 141.711  
2019_10_24_12_10_07_733 1571937007733 3 2 218 107.707  
2019_10_24_12_10_07_733 1571937007733 3 2 359 176.35  
2019_10_24_12_10_07_733 1571937007733 3 1 217 107.222  
2019_10_24_12_10_07_733 1571937007733 3 1 369 181.24  
2019_10_24_12_10_07_733 1571937007733 3 1 1619 815.858  
2019_10_24_12_10_07_733 1571937007733 3 1 799 394.335  
2019_10_24_12_10_07_733 1571937007733 3 1 179 88.8239  
2019_10_24_12_10_07_733 1571937007733 3 1 115 57.9345  
2019_10_24_12_10_07_733 1571937007733 3 1 277 136.358  
2019_10_24_12_10_07_734 1571937007734 4 2 14 9.43355  
2019_10_24_12_10_07_734 1571937007734 4 2 34 19.0137  
2019_10_24_12_10_07_734 1571937007734 4 2 58 30.5256  
2019_10_24_12_10_07_734 1571937007734 4 2 6 5.60478  
2019_10_24_12_10_07_734 1571937007734 4 2 33 18.5345  
2019_10_24_12_10_07_734 1571937007734 4 2 371 182.219  
2019_10_24_12_10_07_734 1571937007734 4 2 66 34.3667  
2019_10_24_12_10_07_736 1571937007736 6 4 2655 1376.85  
2019_10_24_12_10_07_746 1571937007746 16 14 178 88.3403  
2019_10_24_12_10_07_785 1571937007785 55 53 339 166.577  
2019_10_24_12_10_07_857 1571937007857 127 124 182 90.2748  
2019_10_24_12_10_07_859 1571937007859 129 126 279 137.331  
2019_10_24_12_10_07_869 1571937007869 139 136 243 119.834  
2019_10_24_12_10_07_917 1571937007917 187 184 2524 1304.16  
2019_10_24_12_10_07_920 1571937007920 190 187 119 59.8615  
2019_10_24_12_10_07_947 1571937007947 217 214 112 56.4895  
2019_10_24_12_10_07_972 1571937007972 242 239 193 95.5971  
2019_10_24_12_10_07_988 1571937007988 258 255 121 60.8252  
2019_10_24_12_10_08_039 1571937008039 309 306 449 220.472  
2019_10_24_12_10_08_097 1571937008097 367 364 604 297.022  
2019_10_24_12_10_08_098 1571937008098 368 365 252 124.205  
2019_10_24_12_10_08_099 1571937008099 369 366 140 69.9862  
2019_10_24_12_10_08_108 1571937008108 378 375 547 268.789  
2019_10_24_12_10_08_128 1571937008128 398 395 176 87.3733  
2019_10_24_12_10_08_153 1571937008153 423 420 475 233.263  
2019_10_24_12_10_08_167 1571937008167 437 434 343 168.531  
2019_10_24_12_10_08_185 1571937008185 455 452 939 464.895  
2019_10_24_12_10_08_188 1571937008188 458 454 509 250.02  
2019_10_24_12_10_08_234 1571937008234 504 500 129 64.6812  
2019_10_24_12_10_08_272 1571937008272 542 538 512 251.5  
2019_10_24_12_10_08_301 1571937008301 571 567 626 307.944  
2019_10_24_12_10_08_415 1571937008415 685 681 159 79.1579  
2019_10_24_12_10_08_446 1571937008446 716 712 1423 713.295  
2019_10_24_12_10_08_452 1571937008452 722 718 247 121.777  
2019_10_24_12_10_08_479 1571937008479 749 745 800 394.837  
2019_10_24_12_10_08_486 1571937008486 756 752 515 252.98  
2019_10_24_12_10_08_502 1571937008502 772 768 1161 577.971  
