1571937101073 2019_10_24_12_11_41_073 2.734449 0.478300  0.000014786
2019_10_24_12_11_41_160 1571937101160 87 86 105 53.119  
2019_10_24_12_11_41_161 1571937101161 88 87 333 163.648  
2019_10_24_12_11_41_162 1571937101162 89 88 534 262.363  
2019_10_24_12_11_41_162 1571937101162 89 88 580 285.122  
2019_10_24_12_11_41_162 1571937101162 89 88 2760 1435.47  
2019_10_24_12_11_41_162 1571937101162 89 88 972 481.611  
2019_10_24_12_11_41_163 1571937101163 90 89 213 105.283  
2019_10_24_12_11_41_163 1571937101163 90 89 974 482.625  
2019_10_24_12_11_41_163 1571937101163 90 89 186 92.2098  
2019_10_24_12_11_41_163 1571937101163 90 89 778 383.801  
2019_10_24_12_11_41_163 1571937101163 90 89 144 71.9162  
2019_10_24_12_11_41_163 1571937101163 90 89 570 280.169  
2019_10_24_12_11_41_163 1571937101163 90 89 237 116.922  
2019_10_24_12_11_41_163 1571937101163 90 89 946 468.438  
2019_10_24_12_11_41_163 1571937101163 90 89 90 45.9012  
2019_10_24_12_11_41_164 1571937101164 91 90 559 274.724  
2019_10_24_12_11_41_164 1571937101164 91 90 101 51.1936  
2019_10_24_12_11_41_164 1571937101164 91 89 329 161.696  
2019_10_24_12_11_41_164 1571937101164 91 89 144 71.9162  
2019_10_24_12_11_41_164 1571937101164 91 89 242 119.349  
2019_10_24_12_11_41_164 1571937101164 91 89 237 116.922  
2019_10_24_12_11_41_164 1571937101164 91 89 265 130.522  
2019_10_24_12_11_41_164 1571937101164 91 89 247 121.777  
2019_10_24_12_11_41_165 1571937101165 92 90 460 225.881  
2019_10_24_12_11_41_165 1571937101165 92 90 201 99.4701  
2019_10_24_12_11_41_165 1571937101165 92 90 78 40.1318  
2019_10_24_12_11_41_165 1571937101165 92 90 417 204.757  
2019_10_24_12_11_41_165 1571937101165 92 90 551 270.767  
2019_10_24_12_11_41_165 1571937101165 92 90 1831 928.072  
2019_10_24_12_11_41_165 1571937101165 92 90 525 257.917  
2019_10_24_12_11_41_165 1571937101165 92 90 463 227.357  
2019_10_24_12_11_41_166 1571937101166 93 91 101 51.1936  
2019_10_24_12_11_41_166 1571937101166 93 91 153 76.2605  
2019_10_24_12_11_41_166 1571937101166 93 91 834 411.921  
2019_10_24_12_11_41_170 1571937101170 97 94 214 105.768  
2019_10_24_12_11_41_200 1571937101200 127 124 1988 1012.03  
2019_10_24_12_11_41_211 1571937101211 138 135 99 50.2311  
2019_10_24_12_11_41_216 1571937101216 143 140 133 66.6099  
2019_10_24_12_11_41_297 1571937101297 224 221 234 115.466  
2019_10_24_12_11_41_350 1571937101350 277 274 118 59.3797  
2019_10_24_12_11_41_365 1571937101365 292 289 438 215.066  
2019_10_24_12_11_41_399 1571937101399 326 323 474 232.771  
2019_10_24_12_11_41_400 1571937101400 327 324 238 117.407  
2019_10_24_12_11_41_401 1571937101401 328 325 555 272.745  
2019_10_24_12_11_41_410 1571937101410 337 334 146 72.8814  
2019_10_24_12_11_41_416 1571937101416 343 340 204 100.923  
2019_10_24_12_11_41_425 1571937101425 352 349 318 156.329  
2019_10_24_12_11_41_442 1571937101442 369 366 268 131.981  
2019_10_24_12_11_41_484 1571937101484 411 408 167 83.0229  
2019_10_24_12_11_41_524 1571937101524 451 448 873 431.559  
2019_10_24_12_11_41_538 1571937101538 465 462 1310 654.681  
2019_10_24_12_11_41_553 1571937101553 480 476 107 54.0818  
2019_10_24_12_11_41_737 1571937101737 664 660 758 373.781  
2019_10_24_12_11_41_749 1571937101749 676 672 196 97.0493  
2019_10_24_12_11_41_752 1571937101752 679 675 1581 795.885  
2019_10_24_12_11_41_753 1571937101753 680 676 224 110.616  
2019_10_24_12_11_41_779 1571937101779 706 702 4095 2209.31  
2019_10_24_12_11_41_861 1571937101861 788 784 2043 1041.61  
2019_10_24_12_11_41_918 1571937101918 845 841 160 79.641  
2019_10_24_12_11_41_993 1571937101993 920 916 119 59.8615  
2019_10_24_12_11_42_156 1571937102156 1083 1079 398 195.44  
2019_10_24_12_11_42_176 1571937102176 1103 1099 169 83.9894  
2019_10_24_12_11_42_204 1571937102204 1131 1127 124 62.271  
2019_10_24_12_11_42_239 1571937102239 1166 1162 120 60.3434  
2019_10_24_12_11_42_256 1571937102256 1183 1179 161 80.124  
2019_10_24_12_11_42_351 1571937102351 1278 1274 196 97.0493  
2019_10_24_12_11_42_402 1571937102402 1329 1325 279 137.331  
2019_10_24_12_11_42_410 1571937102410 1337 1333 292 143.659  
2019_10_24_12_11_42_418 1571937102418 1345 1340 189 93.6613  
2019_10_24_12_11_42_435 1571937102435 1362 1357 194 96.0811  
2019_10_24_12_11_42_456 1571937102456 1383 1378 244 120.32  
2019_10_24_12_11_42_601 1571937102601 1528 1523 1863 945.125  
2019_10_24_12_11_42_617 1571937102617 1544 1539 91 46.3822  
2019_10_24_12_11_42_619 1571937102619 1546 1541 216 106.737  
2019_10_24_12_11_42_626 1571937102626 1553 1548 232 114.496  
2019_10_24_12_11_42_637 1571937102637 1564 1559 1316 657.784  
2019_10_24_12_11_42_682 1571937102682 1609 1604 137 68.5391  
2019_10_24_12_11_42_702 1571937102702 1629 1624 304 149.504  
2019_10_24_12_11_42_736 1571937102736 1663 1658 1055 523.798  
2019_10_24_12_11_42_737 1571937102737 1664 1659 154 76.7433  
2019_10_24_12_11_42_757 1571937102757 1684 1679 221 109.161  
2019_10_24_12_11_42_763 1571937102763 1690 1685 274 134.899  
2019_10_24_12_11_42_774 1571937102774 1701 1696 359 176.35  
2019_10_24_12_11_42_775 1571937102775 1702 1697 189 93.6613  
2019_10_24_12_11_42_807 1571937102807 1734 1729 262 129.064  
2019_10_24_12_11_42_834 1571937102834 1761 1756 279 137.331  
2019_10_24_12_11_42_842 1571937102842 1769 1763 564 277.199  
2019_10_24_12_11_42_855 1571937102855 1782 1776 88 44.9393  
2019_10_24_12_11_42_892 1571937102892 1819 1813 233 114.981  
2019_10_24_12_11_42_934 1571937102934 1861 1855 247 121.777  
2019_10_24_12_11_42_958 1571937102958 1885 1879 163 81.0902  
2019_10_24_12_11_42_989 1571937102989 1916 1910 278 136.845  
2019_10_24_12_11_42_995 1571937102995 1922 1916 103 52.1562  
2019_10_24_12_11_43_033 1571937103033 1960 1954 171 84.9561  
2019_10_24_12_11_43_322 1571937103322 2249 2243 410 201.323  
2019_10_24_12_11_43_323 1571937103323 2250 2244 1425 714.336  
2019_10_24_12_11_43_324 1571937103324 2251 2245 301 148.042  
2019_10_24_12_11_43_324 1571937103324 2251 2245 959 475.022  
