1571936778602 2019_10_24_12_06_18_602 2.734449 0.478300  0.000014786
2019_10_24_12_06_18_627 1571936778627 25 24 496 243.609  
2019_10_24_12_06_18_635 1571936778635 33 32 190 94.1452  
2019_10_24_12_06_18_666 1571936778666 64 63 292 143.659  
2019_10_24_12_06_18_672 1571936778672 70 69 171 84.9561  
2019_10_24_12_06_18_679 1571936778679 77 76 379 186.134  
2019_10_24_12_06_18_695 1571936778695 93 92 336 165.112  
2019_10_24_12_06_18_731 1571936778731 129 128 226 111.585  
2019_10_24_12_06_18_747 1571936778747 145 144 132 66.1277  
2019_10_24_12_06_18_787 1571936778787 185 184 566 278.189  
2019_10_24_12_06_18_789 1571936778789 187 186 125 62.753  
2019_10_24_12_06_18_803 1571936778803 201 200 578 284.132  
2019_10_24_12_06_18_814 1571936778814 212 211 1581 795.885  
2019_10_24_12_06_18_832 1571936778832 230 229 690 339.801  
2019_10_24_12_06_18_857 1571936778857 255 254 2777 1445  
2019_10_24_12_06_18_865 1571936778865 263 262 559 274.724  
2019_10_24_12_06_18_875 1571936778875 273 272 239 117.893  
2019_10_24_12_06_18_911 1571936778911 309 308 255 125.662  
2019_10_24_12_06_18_912 1571936778912 310 308 229 113.041  
2019_10_24_12_06_19_006 1571936779006 404 402 263 129.55  
2019_10_24_12_06_19_014 1571936779014 412 410 321 157.792  
2019_10_24_12_06_19_037 1571936779037 435 433 562 276.209  
2019_10_24_12_06_19_056 1571936779056 454 452 132 66.1277  
2019_10_24_12_06_19_064 1571936779064 462 460 182 90.2748  
2019_10_24_12_06_19_124 1571936779124 522 520 165 82.0565  
2019_10_24_12_06_19_144 1571936779144 542 540 2344 1205.11  
2019_10_24_12_06_19_159 1571936779159 557 555 472 231.786  
2019_10_24_12_06_19_166 1571936779166 564 562 382 187.603  
2019_10_24_12_06_19_167 1571936779167 565 563 729 359.273  
2019_10_24_12_06_19_205 1571936779205 603 601 907 448.716  
2019_10_24_12_06_19_209 1571936779209 607 605 3846 2060.98  
2019_10_24_12_06_19_216 1571936779216 614 612 244 120.32  
2019_10_24_12_06_19_240 1571936779240 638 636 108 54.5633  
2019_10_24_12_06_19_241 1571936779241 639 637 1308 653.647  
2019_10_24_12_06_19_278 1571936779278 676 674 260 128.092  
2019_10_24_12_06_19_280 1571936779280 678 675 4095 2209.31  
2019_10_24_12_06_19_288 1571936779288 686 683 4095 2209.31  
2019_10_24_12_06_19_291 1571936779291 689 686 1911 970.762  
2019_10_24_12_06_19_294 1571936779294 692 689 544 267.305  
2019_10_24_12_06_19_327 1571936779327 725 722 97 49.2687  
2019_10_24_12_06_19_370 1571936779370 768 765 186 92.2098  
2019_10_24_12_06_19_376 1571936779376 774 771 504 247.553  
2019_10_24_12_06_19_403 1571936779403 801 798 131 65.6455  
2019_10_24_12_06_19_411 1571936779411 809 806 172 85.4395  
