1571935903816 2019_10_24_11_51_43_816 2.734449 0.478300  0.000014786
2019_10_24_11_51_43_817 1571935903817 1 0 104 52.6376  
2019_10_24_11_51_43_817 1571935903817 1 0 1574 792.21  
2019_10_24_11_51_43_817 1571935903817 1 0 130 65.1633  
2019_10_24_11_51_43_818 1571935903818 2 1 427 209.664  
2019_10_24_11_51_43_818 1571935903818 2 1 497 244.102  
2019_10_24_11_51_43_818 1571935903818 2 1 376 184.666  
2019_10_24_11_51_43_818 1571935903818 2 1 222 109.646  
2019_10_24_11_51_43_818 1571935903818 2 1 804 396.845  
2019_10_24_11_51_43_819 1571935903819 3 2 1810 916.897  
2019_10_24_11_51_43_819 1571935903819 3 2 68 35.3272  
2019_10_24_11_51_43_819 1571935903819 3 2 206 101.892  
2019_10_24_11_51_43_819 1571935903819 3 2 188 93.1774  
2019_10_24_11_51_43_819 1571935903819 3 2 425 208.683  
2019_10_24_11_51_43_819 1571935903819 3 2 936 463.377  
2019_10_24_11_51_43_819 1571935903819 3 2 240 118.378  
2019_10_24_11_51_43_819 1571935903819 3 2 290 142.685  
2019_10_24_11_51_43_820 1571935903820 4 3 435 213.593  
2019_10_24_11_51_43_820 1571935903820 4 2 546 268.294  
2019_10_24_11_51_43_820 1571935903820 4 2 211 104.314  
2019_10_24_11_51_43_820 1571935903820 4 2 892 441.142  
2019_10_24_11_51_43_820 1571935903820 4 2 257 126.634  
2019_10_24_11_51_43_820 1571935903820 4 2 98 49.7499  
2019_10_24_11_51_43_820 1571935903820 4 2 271 133.44  
2019_10_24_11_51_43_820 1571935903820 4 2 36 19.9724  
2019_10_24_11_51_43_821 1571935903821 5 3 16 10.391  
2019_10_24_11_51_43_821 1571935903821 5 3 44 23.8083  
2019_10_24_11_51_43_821 1571935903821 5 3 54 28.6058  
2019_10_24_11_51_43_821 1571935903821 5 3 12 8.47618  
2019_10_24_11_51_43_821 1571935903821 5 3 44 23.8083  
2019_10_24_11_51_43_821 1571935903821 5 3 489 240.159  
2019_10_24_11_51_43_821 1571935903821 5 3 162 80.6071  
2019_10_24_11_51_43_827 1571935903827 11 9 1342 671.242  
2019_10_24_11_51_43_828 1571935903828 12 10 392 192.5  
2019_10_24_11_51_43_831 1571935903831 15 13 1277 637.635  
2019_10_24_11_51_43_834 1571935903834 18 15 185 91.726  
2019_10_24_11_51_43_835 1571935903835 19 16 492 241.637  
2019_10_24_11_51_43_836 1571935903836 20 17 261 128.578  
2019_10_24_11_51_43_843 1571935903843 27 24 321 157.792  
2019_10_24_11_51_43_845 1571935903845 29 26 528 259.399  
2019_10_24_11_51_43_850 1571935903850 34 31 150 74.8121  
2019_10_24_11_51_43_859 1571935903859 43 40 345 169.508  
2019_10_24_11_51_43_864 1571935903864 48 45 767 378.289  
2019_10_24_11_51_43_871 1571935903871 55 52 195 96.5652  
2019_10_24_11_51_43_873 1571935903873 57 54 1290 644.346  
2019_10_24_11_51_43_902 1571935903902 86 83 334 164.136  
2019_10_24_11_51_43_915 1571935903915 99 96 508 249.527  
2019_10_24_11_51_43_922 1571935903922 106 103 306 150.479  
2019_10_24_11_51_43_924 1571935903924 108 105 241 118.864  
2019_10_24_11_51_43_948 1571935903948 132 129 436 214.084  
2019_10_24_11_51_43_961 1571935903961 145 142 174 86.4063  
2019_10_24_11_51_43_964 1571935903964 148 145 939 464.895  
2019_10_24_11_51_43_981 1571935903981 165 161 135 67.5744  
2019_10_24_11_51_43_986 1571935903986 170 166 1278 638.151  
2019_10_24_11_51_43_987 1571935903987 171 167 454 222.93  
2019_10_24_11_51_43_999 1571935903999 183 179 337 165.601  
