1571870603988 2019_10_23_17_43_23_988 2.734449 0.478300  0.000014786
2019_10_23_17_43_23_989 1571870603989 1 0 416 204.266  
2019_10_23_17_43_23_990 1571870603990 2 1 252 124.205  
2019_10_23_17_43_23_990 1571870603990 2 1 90 45.9012  
2019_10_23_17_43_23_990 1571870603990 2 1 456 223.914  
2019_10_23_17_43_23_990 1571870603990 2 1 783 386.308  
2019_10_23_17_43_23_990 1571870603990 2 1 194 96.0811  
2019_10_23_17_43_23_990 1571870603990 2 1 1292 645.379  
2019_10_23_17_43_23_990 1571870603990 2 1 372 182.708  
2019_10_23_17_43_23_991 1571870603991 3 2 1366 683.682  
2019_10_23_17_43_23_991 1571870603991 3 2 638 313.908  
2019_10_23_17_43_23_991 1571870603991 3 2 405 198.871  
2019_10_23_17_43_23_991 1571870603991 3 2 248 122.262  
2019_10_23_17_43_23_991 1571870603991 3 2 333 163.648  
2019_10_23_17_43_23_991 1571870603991 3 2 1024 508.018  
2019_10_23_17_43_23_991 1571870603991 3 2 564 277.199  
2019_10_23_17_43_23_991 1571870603991 3 2 387 190.051  
2019_10_23_17_43_23_991 1571870603991 3 2 641 315.4  
2019_10_23_17_43_23_992 1571870603992 4 2 1320 659.853  
2019_10_23_17_43_23_992 1571870603992 4 2 339 166.577  
2019_10_23_17_43_23_992 1571870603992 4 2 1349 674.868  
2019_10_23_17_43_23_992 1571870603992 4 2 417 204.757  
2019_10_23_17_43_23_992 1571870603992 4 2 728 358.773  
2019_10_23_17_43_23_992 1571870603992 4 2 273 134.412  
2019_10_23_17_43_23_992 1571870603992 4 2 474 232.771  
2019_10_23_17_43_23_992 1571870603992 4 2 121 60.8252  
2019_10_23_17_43_23_992 1571870603992 4 2 113 56.9711  
2019_10_23_17_43_23_993 1571870603993 5 3 413 202.794  
2019_10_23_17_43_23_993 1571870603993 5 3 1096 544.712  
2019_10_23_17_43_23_993 1571870603993 5 3 370 181.73  
2019_10_23_17_43_23_993 1571870603993 5 3 879 434.584  
2019_10_23_17_43_23_993 1571870603993 5 3 1241 619.076  
2019_10_23_17_43_23_993 1571870603993 5 3 1224 610.325  
2019_10_23_17_43_23_998 1571870603998 10 8 985 488.205  
2019_10_23_17_43_24_005 1571870604005 17 15 838 413.933  
2019_10_23_17_43_24_006 1571870604006 18 15 198 98.0175  
2019_10_23_17_43_24_053 1571870604053 65 62 821 405.385  
2019_10_23_17_43_24_086 1571870604086 98 95 256 126.148  
2019_10_23_17_43_24_093 1571870604093 105 102 774 381.796  
2019_10_23_17_43_24_105 1571870604105 117 114 448 219.98  
2019_10_23_17_43_24_106 1571870604106 118 115 2269 1164.12  
2019_10_23_17_43_24_107 1571870604107 119 116 763 376.285  
2019_10_23_17_43_24_108 1571870604108 120 117 1374 687.832  
2019_10_23_17_43_24_136 1571870604136 148 145 133 66.6099  
2019_10_23_17_43_24_142 1571870604142 154 151 260 128.092  
2019_10_23_17_43_24_180 1571870604180 192 189 505 248.047  
2019_10_23_17_43_24_183 1571870604183 195 192 264 130.036  
2019_10_23_17_43_24_212 1571870604212 224 221 1279 638.667  
2019_10_23_17_43_24_226 1571870604226 238 235 1349 674.868  
2019_10_23_17_43_24_233 1571870604233 245 242 265 130.522  
2019_10_23_17_43_24_250 1571870604250 262 259 821 405.385  
2019_10_23_17_43_24_252 1571870604252 264 261 394 193.48  
2019_10_23_17_43_24_264 1571870604264 276 272 1338 669.17  
2019_10_23_17_43_24_269 1571870604269 281 277 444 218.014  
2019_10_23_17_43_24_271 1571870604271 283 279 459 225.389  
2019_10_23_17_43_24_284 1571870604284 296 292 115 57.9345  
2019_10_23_17_43_24_292 1571870604292 304 300 481 236.218  
2019_10_23_17_43_24_294 1571870604294 306 302 914 452.253  
2019_10_23_17_43_24_337 1571870604337 349 345 405 198.871  
2019_10_23_17_43_24_341 1571870604341 353 349 266 131.008  
2019_10_23_17_43_24_346 1571870604346 358 354 306 150.479  
2019_10_23_17_43_24_353 1571870604353 365 361 1373 687.313  
2019_10_23_17_43_24_356 1571870604356 368 364 183 90.7585  
2019_10_23_17_43_24_378 1571870604378 390 386 433 212.611  
2019_10_23_17_43_24_381 1571870604381 393 389 497 244.102  
2019_10_23_17_43_24_383 1571870604383 395 391 461 226.373  
2019_10_23_17_43_24_387 1571870604387 399 395 124 62.271  
2019_10_23_17_43_24_388 1571870604388 400 396 324 159.256  
2019_10_23_17_43_24_415 1571870604415 427 423 205 101.407  
2019_10_23_17_43_24_421 1571870604421 433 428 819 404.38  
2019_10_23_17_43_24_425 1571870604425 437 432 1015 503.442  
2019_10_23_17_43_24_428 1571870604428 440 435 207 102.376  
2019_10_23_17_43_24_432 1571870604432 444 439 429 210.646  
2019_10_23_17_43_24_433 1571870604433 445 440 271 133.44  
2019_10_23_17_43_24_436 1571870604436 448 443 188 93.1774  
2019_10_23_17_43_24_441 1571870604441 453 448 279 137.331  
2019_10_23_17_43_24_489 1571870604489 501 496 407 199.852  
2019_10_23_17_43_24_522 1571870604522 534 529 548 269.283  
2019_10_23_17_43_24_781 1571870604781 793 788 1337 668.652  
2019_10_23_17_43_24_782 1571870604782 794 789 1298 648.479  
2019_10_23_17_43_24_783 1571870604783 795 790 535 262.857  
2019_10_23_17_43_24_783 1571870604783 795 790 236 116.437  
2019_10_23_17_43_24_783 1571870604783 795 790 460 225.881  
2019_10_23_17_43_24_783 1571870604783 795 790 240 118.378  
2019_10_23_17_43_24_783 1571870604783 795 790 743 366.274  
2019_10_23_17_43_24_783 1571870604783 795 790 1795 908.923  
2019_10_23_17_43_24_783 1571870604783 795 790 1296 647.446  
2019_10_23_17_43_24_784 1571870604784 796 790 265 130.522  
2019_10_23_17_43_24_784 1571870604784 796 790 237 116.922  
2019_10_23_17_43_24_784 1571870604784 796 790 107 54.0818  
2019_10_23_17_43_24_784 1571870604784 796 790 286 140.738  
2019_10_23_17_43_24_784 1571870604784 796 790 600 295.037  
2019_10_23_17_43_24_784 1571870604784 796 790 753 371.278  
2019_10_23_17_43_24_784 1571870604784 796 790 543 266.811  
2019_10_23_17_43_24_784 1571870604784 796 790 489 240.159  
2019_10_23_17_43_24_784 1571870604784 796 790 659 324.355  
2019_10_23_17_43_24_785 1571870604785 797 791 597 293.549  
2019_10_23_17_43_24_785 1571870604785 797 791 1387 694.581  
2019_10_23_17_43_24_785 1571870604785 797 791 1368 684.719  
2019_10_23_17_43_24_785 1571870604785 797 791 1334 667.099  
2019_10_23_17_43_24_785 1571870604785 797 791 243 119.834  
2019_10_23_17_43_24_785 1571870604785 797 791 1286 642.281  
2019_10_23_17_43_24_785 1571870604785 797 791 1334 667.099  
2019_10_23_17_43_24_785 1571870604785 797 791 310 152.428  
2019_10_23_17_43_24_786 1571870604786 798 791 363 178.306  
2019_10_23_17_43_24_786 1571870604786 798 791 331 162.672  
2019_10_23_17_43_24_786 1571870604786 798 791 313 153.891  
2019_10_23_17_43_24_786 1571870604786 798 791 356 174.883  
2019_10_23_17_43_24_786 1571870604786 798 791 586 288.096  
2019_10_23_17_43_24_786 1571870604786 798 791 255 125.662  
2019_10_23_17_43_24_788 1571870604788 800 793 1297 647.962  
2019_10_23_17_43_24_791 1571870604791 803 796 167 83.0229  
2019_10_23_17_43_24_792 1571870604792 804 797 1171 583.099  
2019_10_23_17_43_24_793 1571870604793 805 798 362 177.817  
2019_10_23_17_43_24_799 1571870604799 811 804 167 83.0229  
2019_10_23_17_43_24_801 1571870604801 813 806 539 264.834  
2019_10_23_17_43_24_814 1571870604814 826 819 1323 661.405  
2019_10_23_17_43_24_819 1571870604819 831 824 376 184.666  
2019_10_23_17_43_24_826 1571870604826 838 831 506 248.54  
2019_10_23_17_43_24_828 1571870604828 840 833 440 216.049  
2019_10_23_17_43_24_829 1571870604829 841 834 1018 504.967  
2019_10_23_17_43_24_830 1571870604830 842 834 184 91.2422  
2019_10_23_17_43_24_834 1571870604834 846 838 284 139.764  
2019_10_23_17_43_24_835 1571870604835 847 839 270 132.953  
2019_10_23_17_43_24_867 1571870604867 879 871 303 149.017  
2019_10_23_17_43_24_869 1571870604869 881 873 2105 1075.07  
2019_10_23_17_43_24_870 1571870604870 882 874 370 181.73  
2019_10_23_17_43_24_908 1571870604908 920 912 443 217.523  
2019_10_23_17_43_24_909 1571870604909 921 913 228 112.555  
2019_10_23_17_43_24_930 1571870604930 942 934 1309 654.164  
2019_10_23_17_43_24_934 1571870604934 946 938 393 192.99  
2019_10_23_17_43_24_951 1571870604951 963 955 1032 512.087  
2019_10_23_17_43_24_953 1571870604953 965 957 78 40.1318  
2019_10_23_17_43_24_961 1571870604961 973 965 93 47.3442  
2019_10_23_17_43_24_982 1571870604982 994 986 313 153.891  
2019_10_23_17_43_24_993 1571870604993 1005 997 1294 646.412  
2019_10_23_17_43_24_994 1571870604994 1006 998 557 273.735  
2019_10_23_17_43_25_007 1571870605007 1019 1011 159 79.1579  
2019_10_23_17_43_25_009 1571870605009 1021 1012 487 239.173  
2019_10_23_17_43_25_017 1571870605017 1029 1020 731 360.273  
2019_10_23_17_43_25_026 1571870605026 1038 1029 192 95.1131  
2019_10_23_17_43_25_032 1571870605032 1044 1035 1337 668.652  
2019_10_23_17_43_25_051 1571870605051 1063 1054 1319 659.336  
2019_10_23_17_43_25_052 1571870605052 1064 1055 160 79.641  
2019_10_23_17_43_25_086 1571870605086 1098 1089 1016 503.95  
2019_10_23_17_43_25_090 1571870605090 1102 1093 1381 691.465  
2019_10_23_17_43_25_104 1571870605104 1116 1107 245 120.805  
2019_10_23_17_43_25_112 1571870605112 1124 1115 1085 539.096  
2019_10_23_17_43_25_121 1571870605121 1133 1124 265 130.522  
2019_10_23_17_43_25_124 1571870605124 1136 1127 1319 659.336  
2019_10_23_17_43_25_126 1571870605126 1138 1129 1600 805.866  
2019_10_23_17_43_25_129 1571870605129 1141 1132 414 203.285  
2019_10_23_17_43_25_133 1571870605133 1145 1136 1078 535.524  
2019_10_23_17_43_25_140 1571870605140 1152 1143 156 77.7091  
2019_10_23_17_43_25_191 1571870605191 1203 1194 620 304.964  
2019_10_23_17_43_25_197 1571870605197 1209 1199 802 395.841  
2019_10_23_17_43_25_201 1571870605201 1213 1203 441 216.54  
2019_10_23_17_43_25_205 1571870605205 1217 1207 337 165.601  
2019_10_23_17_43_25_239 1571870605239 1251 1241 595 292.557  
2019_10_23_17_43_25_268 1571870605268 1280 1270 149 74.3294  
2019_10_23_17_43_25_278 1571870605278 1290 1280 126 63.235  
2019_10_23_17_43_25_279 1571870605279 1291 1281 788 388.816  
2019_10_23_17_43_25_280 1571870605280 1292 1282 2713 1409.19  
2019_10_23_17_43_25_313 1571870605313 1325 1315 661 325.351  
2019_10_23_17_43_25_319 1571870605319 1331 1321 337 165.601  
2019_10_23_17_43_25_324 1571870605324 1336 1326 432 212.119  
2019_10_23_17_43_25_340 1571870605340 1352 1342 191 94.6291  
2019_10_23_17_43_25_346 1571870605346 1358 1348 99 50.2311  
2019_10_23_17_43_25_357 1571870605357 1369 1359 391 192.01  
2019_10_23_17_43_25_358 1571870605358 1370 1360 1391 696.658  
2019_10_23_17_43_25_360 1571870605360 1372 1362 326 160.232  
2019_10_23_17_43_25_369 1571870605369 1381 1371 559 274.724  
2019_10_23_17_43_25_380 1571870605380 1392 1382 132 66.1277  
2019_10_23_17_43_25_385 1571870605385 1397 1386 122 61.3071  
2019_10_23_17_43_25_406 1571870605406 1418 1407 250 123.234  
2019_10_23_17_43_25_425 1571870605425 1437 1426 152 75.7777  
2019_10_23_17_43_25_430 1571870605430 1442 1431 376 184.666  
2019_10_23_17_43_25_431 1571870605431 1443 1432 1311 655.198  
2019_10_23_17_43_25_432 1571870605432 1444 1433 1009 500.392  
2019_10_23_17_43_25_433 1571870605433 1445 1434 378 185.644  
2019_10_23_17_43_25_434 1571870605434 1446 1435 1366 683.682  
2019_10_23_17_43_25_435 1571870605435 1447 1436 155 77.2262  
2019_10_23_17_43_25_437 1571870605437 1449 1438 198 98.0175  
2019_10_23_17_43_25_444 1571870605444 1456 1445 1146 570.285  
2019_10_23_17_43_25_445 1571870605445 1457 1446 186 92.2098  
2019_10_23_17_43_25_451 1571870605451 1463 1452 255 125.662  
2019_10_23_17_43_25_452 1571870605452 1464 1453 1324 661.923  
2019_10_23_17_43_25_483 1571870605483 1495 1484 1352 676.423  
2019_10_23_17_43_25_484 1571870605484 1496 1485 112 56.4895  
2019_10_23_17_43_25_487 1571870605487 1499 1488 672 330.829  
2019_10_23_17_43_25_497 1571870605497 1509 1497 358 175.861  
2019_10_23_17_43_25_500 1571870605500 1512 1500 612 300.992  
2019_10_23_17_43_25_501 1571870605501 1513 1501 444 218.014  
2019_10_23_17_43_25_504 1571870605504 1516 1504 101 51.1936  
2019_10_23_17_43_25_530 1571870605530 1542 1530 219 108.191  
2019_10_23_17_43_25_532 1571870605532 1544 1532 509 250.02  
2019_10_23_17_43_25_537 1571870605537 1549 1537 503 247.06  
2019_10_23_17_43_25_543 1571870605543 1555 1543 712 350.78  
2019_10_23_17_43_25_544 1571870605544 1556 1544 295 145.12  
2019_10_23_17_43_25_566 1571870605566 1578 1566 1256 626.804  
2019_10_23_17_43_25_577 1571870605577 1589 1577 279 137.331  
