1571935270586 2019_10_24_11_41_10_586 2.734449 0.478300  0.000014786
2019_10_24_11_41_10_724 1571935270724 138 137 305 149.991  
2019_10_24_11_41_10_725 1571935270725 139 138 294 144.633  
2019_10_24_11_41_10_726 1571935270726 140 139 765 377.287  
2019_10_24_11_41_10_726 1571935270726 140 139 397 194.95  
2019_10_24_11_41_10_726 1571935270726 140 139 163 81.0902  
2019_10_24_11_41_10_726 1571935270726 140 139 145 72.3988  
2019_10_24_11_41_10_726 1571935270726 140 139 2063 1052.39  
2019_10_24_11_41_10_727 1571935270727 141 140 495 243.116  
2019_10_24_11_41_10_727 1571935270727 141 140 324 159.256  
2019_10_24_11_41_10_727 1571935270727 141 140 3062 1605.92  
2019_10_24_11_41_10_727 1571935270727 141 140 347 170.485  
2019_10_24_11_41_10_727 1571935270727 141 140 259 127.606  
2019_10_24_11_41_10_727 1571935270727 141 140 162 80.6071  
2019_10_24_11_41_10_727 1571935270727 141 140 375 184.176  
2019_10_24_11_41_10_727 1571935270727 141 140 291 143.172  
2019_10_24_11_41_10_728 1571935270728 142 141 341 167.554  
2019_10_24_11_41_10_728 1571935270728 142 141 241 118.864  
2019_10_24_11_41_10_728 1571935270728 142 140 1587 799.035  
2019_10_24_11_41_10_728 1571935270728 142 140 172 85.4395  
2019_10_24_11_41_10_728 1571935270728 142 140 98 49.7499  
2019_10_24_11_41_10_728 1571935270728 142 140 1229 612.898  
2019_10_24_11_41_10_728 1571935270728 142 140 483 237.203  
2019_10_24_11_41_10_728 1571935270728 142 140 180 89.3075  
2019_10_24_11_41_10_728 1571935270728 142 140 261 128.578  
2019_10_24_11_41_10_729 1571935270729 143 141 215 106.252  
2019_10_24_11_41_10_729 1571935270729 143 141 114 57.4528  
2019_10_24_11_41_10_729 1571935270729 143 141 530 260.387  
2019_10_24_11_41_10_729 1571935270729 143 141 167 83.0229  
2019_10_24_11_41_10_729 1571935270729 143 141 83 42.5352  
2019_10_24_11_41_10_729 1571935270729 143 141 254 125.177  
2019_10_24_11_41_10_729 1571935270729 143 141 536 263.351  
2019_10_24_11_41_10_729 1571935270729 143 141 289 142.198  
2019_10_24_11_41_10_729 1571935270729 143 141 225 111.1  
2019_10_24_11_41_10_730 1571935270730 144 142 280 137.818  
2019_10_24_11_41_10_752 1571935270752 166 163 296 145.607  
2019_10_24_11_41_10_799 1571935270799 213 210 1677 846.426  
2019_10_24_11_41_10_804 1571935270804 218 215 228 112.555  
2019_10_24_11_41_10_814 1571935270814 228 225 198 98.0175  
2019_10_24_11_41_10_819 1571935270819 233 230 229 113.041  
2019_10_24_11_41_10_861 1571935270861 275 272 385 189.072  
2019_10_24_11_41_10_878 1571935270878 292 289 174 86.4063  
2019_10_24_11_41_10_899 1571935270899 313 310 86 43.9776  
2019_10_24_11_41_10_901 1571935270901 315 312 556 273.24  
2019_10_24_11_41_10_911 1571935270911 325 322 918 454.274  
2019_10_24_11_41_10_949 1571935270949 363 360 212 104.799  
2019_10_24_11_41_11_002 1571935271002 416 413 487 239.173  
2019_10_24_11_41_11_028 1571935271028 442 439 163 81.0902  
2019_10_24_11_41_11_053 1571935271053 467 464 168 83.5062  
