1571936621649 2019_10_24_12_03_41_649 2.734449 0.478300  0.000014786
2019_10_24_12_03_41_715 1571936621715 66 65 157 78.192  
2019_10_24_12_03_41_771 1571936621771 122 121 211 104.314  
2019_10_24_12_03_41_801 1571936621801 152 151 279 137.331  
2019_10_24_12_03_41_805 1571936621805 156 155 193 95.5971  
2019_10_24_12_03_41_819 1571936621819 170 169 771 380.293  
2019_10_24_12_03_41_859 1571936621859 210 209 2193 1122.75  
2019_10_24_12_03_41_860 1571936621860 211 210 338 166.089  
2019_10_24_12_03_41_883 1571936621883 234 233 4095 2209.31  
2019_10_24_12_03_41_888 1571936621888 239 238 1691 853.819  
2019_10_24_12_03_41_890 1571936621890 241 240 278 136.845  
2019_10_24_12_03_41_902 1571936621902 253 252 683 336.311  
2019_10_24_12_03_41_915 1571936621915 266 265 302 148.53  
2019_10_24_12_03_41_918 1571936621918 269 268 2138 1092.93  
2019_10_24_12_03_41_966 1571936621966 317 316 708 348.782  
2019_10_24_12_03_41_979 1571936621979 330 329 231 114.011  
2019_10_24_12_03_41_982 1571936621982 333 332 1041 516.668  
2019_10_24_12_03_41_999 1571936621999 350 349 267 131.495  
2019_10_24_12_03_42_032 1571936622032 383 381 252 124.205  
2019_10_24_12_03_42_061 1571936622061 412 410 215 106.252  
2019_10_24_12_03_42_079 1571936622079 430 428 452 221.947  
2019_10_24_12_03_42_135 1571936622135 486 484 2479 1279.3  
2019_10_24_12_03_42_154 1571936622154 505 503 188 93.1774  
2019_10_24_12_03_42_160 1571936622160 511 509 489 240.159  
2019_10_24_12_03_42_171 1571936622171 522 520 494 242.623  
2019_10_24_12_03_42_205 1571936622205 556 554 408 200.342  
2019_10_24_12_03_42_213 1571936622213 564 562 555 272.745  
2019_10_24_12_03_42_222 1571936622222 573 571 486 238.681  
2019_10_24_12_03_42_232 1571936622232 583 581 977 484.147  
2019_10_24_12_03_42_237 1571936622237 588 586 4095 2209.31  
2019_10_24_12_03_42_261 1571936622261 612 610 1900 964.881  
2019_10_24_12_03_42_267 1571936622267 618 616 164 81.5733  
2019_10_24_12_03_42_271 1571936622271 622 620 82 42.0545  
2019_10_24_12_03_42_358 1571936622358 709 707 386 189.561  
2019_10_24_12_03_42_419 1571936622419 770 768 92 46.8632  
2019_10_24_12_03_42_435 1571936622435 786 783 557 273.735  
2019_10_24_12_03_42_443 1571936622443 794 791 1429 716.418  
2019_10_24_12_03_42_450 1571936622450 801 798 260 128.092  
2019_10_24_12_03_42_455 1571936622455 806 803 1024 508.018  
2019_10_24_12_03_42_490 1571936622490 841 838 166 82.5397  
2019_10_24_12_03_42_516 1571936622516 867 864 917 453.769  
2019_10_24_12_03_42_548 1571936622548 899 896 158 78.675  
2019_10_24_12_03_42_552 1571936622552 903 900 527 258.905  
2019_10_24_12_03_42_580 1571936622580 931 928 455 223.422  
2019_10_24_12_03_42_602 1571936622602 953 950 233 114.981  
2019_10_24_12_03_42_603 1571936622603 954 951 697 343.293  
2019_10_24_12_03_42_605 1571936622605 956 953 434 213.102  
2019_10_24_12_03_42_606 1571936622606 957 954 203 100.439  
2019_10_24_12_03_42_615 1571936622615 966 963 175 86.8898  
2019_10_24_12_03_42_616 1571936622616 967 964 356 174.883  
2019_10_24_12_03_42_629 1571936622629 980 977 92 46.8632  
2019_10_24_12_03_42_648 1571936622648 999 996 170 84.4728  
2019_10_24_12_03_42_661 1571936622661 1012 1008 1555 782.243  
2019_10_24_12_03_42_701 1571936622701 1052 1048 4095 2209.31  
2019_10_24_12_03_42_730 1571936622730 1081 1077 1190 592.849  
2019_10_24_12_03_42_753 1571936622753 1104 1100 194 96.0811  
2019_10_24_12_03_42_754 1571936622754 1105 1101 234 115.466  
2019_10_24_12_03_42_755 1571936622755 1106 1102 100 50.7123  
2019_10_24_12_03_42_820 1571936622820 1171 1167 97 49.2687  
2019_10_24_12_03_42_825 1571936622825 1176 1172 509 250.02  
2019_10_24_12_03_42_873 1571936622873 1224 1220 154 76.7433  
2019_10_24_12_03_42_891 1571936622891 1242 1238 854 421.986  
2019_10_24_12_03_42_897 1571936622897 1248 1244 120 60.3434  
2019_10_24_12_03_42_910 1571936622910 1261 1257 166 82.5397  
2019_10_24_12_03_42_947 1571936622947 1298 1294 419 205.738  
2019_10_24_12_03_42_948 1571936622948 1299 1295 270 132.953  
2019_10_24_12_03_43_026 1571936623026 1377 1373 423 207.701  
2019_10_24_12_03_43_028 1571936623028 1379 1375 252 124.205  
2019_10_24_12_03_43_035 1571936623035 1386 1382 70 36.2879  
2019_10_24_12_03_43_041 1571936623041 1392 1387 701 345.288  
2019_10_24_12_03_43_053 1571936623053 1404 1399 312 153.403  
2019_10_24_12_03_43_059 1571936623059 1410 1405 183 90.7585  
2019_10_24_12_03_43_062 1571936623062 1413 1408 1834 929.669  
2019_10_24_12_03_43_064 1571936623064 1415 1410 1102 547.777  
2019_10_24_12_03_43_066 1571936623066 1417 1412 172 85.4395  
2019_10_24_12_03_43_071 1571936623071 1422 1417 773 381.295  
2019_10_24_12_03_43_091 1571936623091 1442 1437 265 130.522  
2019_10_24_12_03_43_092 1571936623092 1443 1438 119 59.8615  
2019_10_24_12_03_43_095 1571936623095 1446 1441 393 192.99  
2019_10_24_12_03_43_171 1571936623171 1522 1517 714 351.778  
2019_10_24_12_03_43_177 1571936623177 1528 1523 167 83.0229  
2019_10_24_12_03_43_184 1571936623184 1535 1530 696 342.794  
2019_10_24_12_03_43_220 1571936623220 1571 1566 4095 2209.31  
2019_10_24_12_03_43_221 1571936623221 1572 1567 1344 672.278  
2019_10_24_12_03_43_269 1571936623269 1620 1615 141 70.4687  
2019_10_24_12_03_43_290 1571936623290 1641 1636 931 460.847  
2019_10_24_12_03_43_294 1571936623294 1645 1640 362 177.817  
2019_10_24_12_03_43_312 1571936623312 1663 1657 2933 1532.78  
2019_10_24_12_03_43_334 1571936623334 1685 1679 106 53.6004  
2019_10_24_12_03_43_336 1571936623336 1687 1681 116 58.4162  
2019_10_24_12_03_43_383 1571936623383 1734 1728 340 167.066  
2019_10_24_12_03_43_463 1571936623463 1814 1808 280 137.818  
2019_10_24_12_03_43_506 1571936623506 1857 1851 166 82.5397  
2019_10_24_12_03_43_573 1571936623573 1924 1918 563 276.704  
2019_10_24_12_03_43_579 1571936623579 1930 1924 588 289.087  
2019_10_24_12_03_43_642 1571936623642 1993 1987 386 189.561  
2019_10_24_12_03_43_675 1571936623675 2026 2020 300 147.555  
2019_10_24_12_03_43_681 1571936623681 2032 2026 66 34.3667  
2019_10_24_12_03_43_688 1571936623688 2039 2033 811 400.361  
2019_10_24_12_03_43_712 1571936623712 2063 2057 202 99.9544  
2019_10_24_12_03_43_717 1571936623717 2068 2062 201 99.4701  
2019_10_24_12_03_43_720 1571936623720 2071 2065 308 151.453  
2019_10_24_12_03_43_761 1571936623761 2112 2106 271 133.44  
2019_10_24_12_03_43_766 1571936623766 2117 2111 342 168.042  
2019_10_24_12_03_43_768 1571936623768 2119 2112 1065 528.894  
2019_10_24_12_03_44_100 1571936624100 2451 2444 173 85.9229  
2019_10_24_12_03_44_101 1571936624101 2452 2445 714 351.778  
2019_10_24_12_03_44_102 1571936624102 2453 2446 229 113.041  
2019_10_24_12_03_44_102 1571936624102 2453 2446 139 69.5038  
2019_10_24_12_03_44_102 1571936624102 2453 2446 413 202.794  
2019_10_24_12_03_44_102 1571936624102 2453 2446 325 159.744  
2019_10_24_12_03_44_102 1571936624102 2453 2446 610 299.999  
2019_10_24_12_03_44_103 1571936624103 2454 2447 996 493.789  
2019_10_24_12_03_44_108 1571936624108 2459 2452 1169 582.073  
2019_10_24_12_03_44_169 1571936624169 2520 2513 2359 1213.32  
2019_10_24_12_03_44_187 1571936624187 2538 2531 97 49.2687  
2019_10_24_12_03_44_200 1571936624200 2551 2544 103 52.1562  
2019_10_24_12_03_44_222 1571936624222 2573 2566 2749 1429.32  
2019_10_24_12_03_44_271 1571936624271 2622 2615 212 104.799  
2019_10_24_12_03_44_327 1571936624327 2678 2671 601 295.533  
2019_10_24_12_03_44_331 1571936624331 2682 2675 259 127.606  
2019_10_24_12_03_44_342 1571936624342 2693 2685 240 118.378  
2019_10_24_12_03_44_343 1571936624343 2694 2686 413 202.794  
2019_10_24_12_03_44_372 1571936624372 2723 2715 418 205.247  
2019_10_24_12_03_44_374 1571936624374 2725 2717 134 67.0921  
2019_10_24_12_03_44_376 1571936624376 2727 2719 1743 881.331  
2019_10_24_12_03_44_423 1571936624423 2774 2766 417 204.757  
2019_10_24_12_03_44_434 1571936624434 2785 2777 552 271.261  
2019_10_24_12_03_44_435 1571936624435 2786 2778 266 131.008  
2019_10_24_12_03_44_437 1571936624437 2788 2780 406 199.361  
2019_10_24_12_03_44_536 1571936624536 2887 2879 320 157.305  
2019_10_24_12_03_44_557 1571936624557 2908 2900 918 454.274  
2019_10_24_12_03_44_559 1571936624559 2910 2902 72 37.2487  
2019_10_24_12_03_44_560 1571936624560 2911 2903 561 275.714  
2019_10_24_12_03_44_614 1571936624614 2965 2957 568 279.179  
2019_10_24_12_03_44_628 1571936624628 2979 2971 740 364.773  
2019_10_24_12_03_44_635 1571936624635 2986 2978 244 120.32  
2019_10_24_12_03_44_652 1571936624652 3003 2995 222 109.646  
2019_10_24_12_03_44_660 1571936624660 3011 3002 1303 651.063  
2019_10_24_12_03_44_694 1571936624694 3045 3036 93 47.3442  
2019_10_24_12_03_44_699 1571936624699 3050 3041 415 203.775  
2019_10_24_12_03_44_720 1571936624720 3071 3062 362 177.817  
2019_10_24_12_03_44_726 1571936624726 3077 3068 485 238.188  
2019_10_24_12_03_44_739 1571936624739 3090 3081 85 43.4968  
2019_10_24_12_03_44_747 1571936624747 3098 3089 1813 918.492  
2019_10_24_12_03_44_842 1571936624842 3193 3184 154 76.7433  
2019_10_24_12_03_44_908 1571936624908 3259 3250 158 78.675  
2019_10_24_12_03_44_996 1571936624996 3347 3338 1233 614.957  
2019_10_24_12_03_45_010 1571936625010 3361 3352 155 77.2262  
2019_10_24_12_03_45_043 1571936625043 3394 3385 170 84.4728  
2019_10_24_12_03_45_056 1571936625056 3407 3398 1549 779.098  
2019_10_24_12_03_45_063 1571936625063 3414 3405 355 174.394  
2019_10_24_12_03_45_073 1571936625073 3424 3415 195 96.5652  
2019_10_24_12_03_45_120 1571936625120 3471 3462 416 204.266  
2019_10_24_12_03_45_133 1571936625133 3484 3475 121 60.8252  
2019_10_24_12_03_45_164 1571936625164 3515 3505 346 169.996  
2019_10_24_12_03_45_167 1571936625167 3518 3508 248 122.262  
2019_10_24_12_03_45_190 1571936625190 3541 3531 221 109.161  
2019_10_24_12_03_45_199 1571936625199 3550 3540 151 75.2949  
2019_10_24_12_03_45_212 1571936625212 3563 3553 234 115.466  
2019_10_24_12_03_45_237 1571936625237 3588 3578 285 140.251  
2019_10_24_12_03_45_276 1571936625276 3627 3617 382 187.603  
2019_10_24_12_03_45_281 1571936625281 3632 3622 1296 647.446  
2019_10_24_12_03_45_291 1571936625291 3642 3632 188 93.1774  
2019_10_24_12_03_45_308 1571936625308 3659 3649 100 50.7123  
2019_10_24_12_03_45_322 1571936625322 3673 3663 160 79.641  
2019_10_24_12_03_45_351 1571936625351 3702 3692 546 268.294  
2019_10_24_12_03_45_405 1571936625405 3756 3746 1201 598.5  
2019_10_24_12_03_45_415 1571936625415 3766 3756 297 146.094  
2019_10_24_12_03_45_470 1571936625470 3821 3811 357 175.372  
2019_10_24_12_03_45_483 1571936625483 3834 3824 2655 1376.85  
2019_10_24_12_03_45_487 1571936625487 3838 3828 130 65.1633  
2019_10_24_12_03_45_492 1571936625492 3843 3833 193 95.5971  
2019_10_24_12_03_45_515 1571936625515 3866 3855 498 244.595  
2019_10_24_12_03_45_531 1571936625531 3882 3871 281 138.304  
2019_10_24_12_03_45_649 1571936625649 4000 3989 2738 1423.16  
2019_10_24_12_03_45_672 1571936625672 4023 4012 4095 2209.31  
2019_10_24_12_03_45_685 1571936625685 4036 4025 562 276.209  
2019_10_24_12_03_45_710 1571936625710 4061 4050 99 50.2311  
2019_10_24_12_03_45_720 1571936625720 4071 4060 726 357.773  
