1571934917558 2019_10_24_11_35_17_558 2.734449 0.478300  0.000014786
2019_10_24_11_35_17_559 1571934917559 1 0 529 259.893  
2019_10_24_11_35_17_636 1571934917636 78 77 464 227.849  
2019_10_24_11_35_17_746 1571934917746 188 187 143 71.4337  
2019_10_24_11_35_17_762 1571934917762 204 203 896 443.161  
2019_10_24_11_35_17_772 1571934917772 214 213 244 120.32  
2019_10_24_11_35_17_788 1571934917788 230 229 2432 1253.41  
2019_10_24_11_35_17_799 1571934917799 241 240 251 123.719  
2019_10_24_11_35_17_808 1571934917808 250 249 622 305.957  
2019_10_24_11_35_17_827 1571934917827 269 268 196 97.0493  
2019_10_24_11_35_17_923 1571934917923 365 364 342 168.042  
2019_10_24_11_35_17_945 1571934917945 387 386 65 33.8864  
2019_10_24_11_35_17_948 1571934917948 390 389 177 87.8568  
2019_10_24_11_35_17_956 1571934917956 398 397 122 61.3071  
2019_10_24_11_35_17_968 1571934917968 410 409 200 98.9859  
2019_10_24_11_35_17_980 1571934917980 422 421 1021 506.492  
2019_10_24_11_35_17_988 1571934917988 430 429 859 424.504  
2019_10_24_11_35_18_024 1571934918024 466 465 624 306.951  
2019_10_24_11_35_18_027 1571934918027 469 467 370 181.73  
2019_10_24_11_35_18_034 1571934918034 476 474 192 95.1131  
2019_10_24_11_35_18_062 1571934918062 504 502 88 44.9393  
2019_10_24_11_35_18_063 1571934918063 505 503 1300 649.512  
2019_10_24_11_35_18_067 1571934918067 509 507 441 216.54  
2019_10_24_11_35_18_100 1571934918100 542 540 760 374.783  
2019_10_24_11_35_18_132 1571934918132 574 572 289 142.198  
2019_10_24_11_35_18_144 1571934918144 586 584 149 74.3294  
2019_10_24_11_35_18_214 1571934918214 656 654 87 44.4585  
2019_10_24_11_35_18_221 1571934918221 663 661 175 86.8898  
2019_10_24_11_35_18_295 1571934918295 737 735 120 60.3434  
2019_10_24_11_35_18_437 1571934918437 879 877 161 80.124  
2019_10_24_11_35_18_442 1571934918442 884 882 134 67.0921  
2019_10_24_11_35_18_444 1571934918444 886 884 453 222.439  
2019_10_24_11_35_18_466 1571934918466 908 906 208 102.861  
2019_10_24_11_35_18_480 1571934918480 922 920 501 246.074  
2019_10_24_11_35_18_501 1571934918501 943 941 160 79.641  
2019_10_24_11_35_18_574 1571934918574 1016 1013 4095 2209.31  
2019_10_24_11_35_18_591 1571934918591 1033 1030 296 145.607  
2019_10_24_11_35_18_646 1571934918646 1088 1085 267 131.495  
2019_10_24_11_35_18_651 1571934918651 1093 1090 773 381.295  
2019_10_24_11_35_18_685 1571934918685 1127 1124 129 64.6812  
2019_10_24_11_35_18_766 1571934918766 1208 1205 274 134.899  
2019_10_24_11_35_18_776 1571934918776 1218 1215 497 244.102  
2019_10_24_11_35_18_787 1571934918787 1229 1226 87 44.4585  
2019_10_24_11_35_18_799 1571934918799 1241 1238 2989 1564.47  
2019_10_24_11_35_18_807 1571934918807 1249 1246 452 221.947  
2019_10_24_11_35_18_823 1571934918823 1265 1262 288 141.711  
2019_10_24_11_35_18_839 1571934918839 1281 1278 1040 516.159  
2019_10_24_11_35_18_846 1571934918846 1288 1285 152 75.7777  
2019_10_24_11_35_18_869 1571934918869 1311 1308 1625 819.015  
2019_10_24_11_35_18_883 1571934918883 1325 1322 255 125.662  
2019_10_24_11_35_18_914 1571934918914 1356 1353 181 89.7911  
