1571866930027 2019_10_23_16_42_10_027 2.734449 0.478300  0.000014786
2019_10_23_16_42_10_027 1571866930027 0 0 251 123.719  
2019_10_23_16_42_10_027 1571866930027 0 0 620 304.964  
2019_10_23_16_42_10_027 1571866930027 0 0 505 248.047  
2019_10_23_16_42_10_027 1571866930027 0 0 270 132.953  
2019_10_23_16_42_10_027 1571866930027 0 0 151 75.2949  
2019_10_23_16_42_10_027 1571866930027 0 0 253 124.691  
2019_10_23_16_42_10_027 1571866930027 0 0 415 203.775  
2019_10_23_16_42_10_028 1571866930028 1 0 81 41.5738  
2019_10_23_16_42_10_028 1571866930028 1 0 1289 643.83  
2019_10_23_16_42_10_028 1571866930028 1 0 2047 1043.77  
2019_10_23_16_42_10_028 1571866930028 1 0 213 105.283  
2019_10_23_16_42_10_028 1571866930028 1 0 226 111.585  
2019_10_23_16_42_10_028 1571866930028 1 0 378 185.644  
2019_10_23_16_42_10_028 1571866930028 1 0 281 138.304  
2019_10_23_16_42_10_028 1571866930028 1 0 1345 672.796  
2019_10_23_16_42_10_028 1571866930028 1 0 634 311.92  
2019_10_23_16_42_10_028 1571866930028 1 0 445 218.506  
2019_10_23_16_42_10_028 1571866930028 1 0 306 150.479  
2019_10_23_16_42_10_028 1571866930028 1 0 233 114.981  
2019_10_23_16_42_10_028 1571866930028 1 0 369 181.24  
2019_10_23_16_42_10_028 1571866930028 1 0 202 99.9544  
2019_10_23_16_42_10_028 1571866930028 1 0 1413 708.093  
2019_10_23_16_42_10_028 1571866930028 1 0 106 53.6004  
2019_10_23_16_42_10_028 1571866930028 1 0 257 126.634  
2019_10_23_16_42_10_028 1571866930028 1 0 1284 641.248  
2019_10_23_16_42_10_029 1571866930029 2 0 912 451.242  
2019_10_23_16_42_10_029 1571866930029 2 0 325 159.744  
2019_10_23_16_42_10_029 1571866930029 2 0 498 244.595  
2019_10_23_16_42_10_029 1571866930029 2 0 799 394.335  
2019_10_23_16_42_10_029 1571866930029 2 0 279 137.331  
2019_10_23_16_42_10_029 1571866930029 2 0 497 244.102  
2019_10_23_16_42_10_029 1571866930029 2 0 252 124.205  
2019_10_23_16_42_10_044 1571866930044 17 15 515 252.98  
