1571871396259 2019_10_23_17_56_36_259 2.734449 0.478300  0.000014786
2019_10_23_17_56_36_703 1571871396703 444 443 755 372.279  
2019_10_23_17_56_36_703 1571871396703 444 443 894 442.152  
2019_10_23_17_56_36_704 1571871396704 445 444 1360 680.57  
2019_10_23_17_56_36_705 1571871396705 446 445 114 57.4528  
2019_10_23_17_56_36_705 1571871396705 446 445 154 76.7433  
2019_10_23_17_56_36_705 1571871396705 446 445 1351 675.905  
2019_10_23_17_56_36_705 1571871396705 446 445 47 25.2472  
2019_10_23_17_56_36_705 1571871396705 446 445 292 143.659  
2019_10_23_17_56_36_705 1571871396705 446 445 116 58.4162  
2019_10_23_17_56_36_705 1571871396705 446 445 135 67.5744  
2019_10_23_17_56_36_705 1571871396705 446 445 949 469.957  
2019_10_23_17_56_36_705 1571871396705 446 445 77 39.6512  
2019_10_23_17_56_36_706 1571871396706 447 446 401 196.91  
2019_10_23_17_56_36_706 1571871396706 447 446 185 91.726  
2019_10_23_17_56_36_706 1571871396706 447 446 415 203.775  
2019_10_23_17_56_36_706 1571871396706 447 446 255 125.662  
2019_10_23_17_56_36_706 1571871396706 447 446 802 395.841  
2019_10_23_17_56_36_706 1571871396706 447 445 329 161.696  
2019_10_23_17_56_36_706 1571871396706 447 445 319 156.817  
2019_10_23_17_56_36_706 1571871396706 447 445 2245 1151.04  
2019_10_23_17_56_36_706 1571871396706 447 445 106 53.6004  
2019_10_23_17_56_36_707 1571871396707 448 446 738 363.773  
2019_10_23_17_56_36_707 1571871396707 448 446 181 89.7911  
2019_10_23_17_56_36_707 1571871396707 448 446 833 411.418  
2019_10_23_17_56_36_707 1571871396707 448 446 491 241.144  
2019_10_23_17_56_36_707 1571871396707 448 446 1360 680.57  
2019_10_23_17_56_36_707 1571871396707 448 446 70 36.2879  
2019_10_23_17_56_36_707 1571871396707 448 446 389 191.031  
2019_10_23_17_56_36_707 1571871396707 448 446 156 77.7091  
2019_10_23_17_56_36_707 1571871396707 448 446 773 381.295  
2019_10_23_17_56_36_708 1571871396708 449 447 183 90.7585  
2019_10_23_17_56_36_708 1571871396708 449 447 514 252.487  
2019_10_23_17_56_36_708 1571871396708 449 447 251 123.719  
2019_10_23_17_56_36_708 1571871396708 449 447 379 186.134  
2019_10_23_17_56_36_764 1571871396764 505 502 237 116.922  
2019_10_23_17_56_36_810 1571871396810 551 548 1156 575.408  
2019_10_23_17_56_36_839 1571871396839 580 577 868 429.039  
2019_10_23_17_56_36_871 1571871396871 612 609 229 113.041  
2019_10_23_17_56_36_924 1571871396924 665 662 286 140.738  
2019_10_23_17_56_36_941 1571871396941 682 679 1245 621.136  
2019_10_23_17_56_36_993 1571871396993 734 731 385 189.072  
2019_10_23_17_56_37_328 1571871397328 1069 1066 406 199.361  
2019_10_23_17_56_37_329 1571871397329 1070 1067 233 114.981  
2019_10_23_17_56_37_330 1571871397330 1071 1068 224 110.616  
2019_10_23_17_56_37_331 1571871397331 1072 1069 467 229.325  
2019_10_23_17_56_37_331 1571871397331 1072 1069 146 72.8814  
2019_10_23_17_56_37_331 1571871397331 1072 1069 424 208.192  
2019_10_23_17_56_37_331 1571871397331 1072 1069 217 107.222  
2019_10_23_17_56_37_331 1571871397331 1072 1069 516 253.474  
2019_10_23_17_56_37_331 1571871397331 1072 1069 4095 2209.31  
2019_10_23_17_56_37_331 1571871397331 1072 1069 2247 1152.13  
