1576081862515 2019_12_11_10_31_02_515 2.734449 0.478300  0.000014786
2019_12_11_10_31_02_918 1576081862918 403 402 581 285.618  
2019_12_11_10_31_02_918 1576081862918 403 402 132 66.1277  
2019_12_11_10_31_02_919 1576081862919 404 403 141 70.4687  
2019_12_11_10_31_02_919 1576081862919 404 403 311 152.916  
2019_12_11_10_31_02_920 1576081862920 405 404 120 60.3434  
2019_12_11_10_31_02_920 1576081862920 405 404 734 361.773  
2019_12_11_10_31_02_920 1576081862920 405 404 715 352.278  
2019_12_11_10_31_02_920 1576081862920 405 404 1289 643.83  
2019_12_11_10_31_02_920 1576081862920 405 404 330 162.184  
2019_12_11_10_31_02_920 1576081862920 405 404 385 189.072  
2019_12_11_10_31_02_920 1576081862920 405 404 1529 768.622  
2019_12_11_10_31_02_920 1576081862920 405 404 509 250.02  
2019_12_11_10_31_02_921 1576081862921 406 405 229 113.041  
2019_12_11_10_31_02_921 1576081862921 406 405 499 245.088  
2019_12_11_10_31_02_921 1576081862921 406 405 339 166.577  
2019_12_11_10_31_02_921 1576081862921 406 405 304 149.504  
2019_12_11_10_31_02_921 1576081862921 406 405 276 135.872  
2019_12_11_10_31_02_921 1576081862921 406 404 335 164.624  
2019_12_11_10_31_02_921 1576081862921 406 404 287 141.224  
2019_12_11_10_31_02_921 1576081862921 406 404 259 127.606  
2019_12_11_10_31_02_921 1576081862921 406 404 4095 2209.31  
2019_12_11_10_31_02_922 1576081862922 407 405 1375 688.351  
2019_12_11_10_31_02_922 1576081862922 407 405 1329 664.51  
2019_12_11_10_31_02_922 1576081862922 407 405 3351 1771.55  
2019_12_11_10_31_02_922 1576081862922 407 405 1201 598.5  
2019_12_11_10_31_02_922 1576081862922 407 405 938 464.389  
2019_12_11_10_31_02_922 1576081862922 407 405 147 73.3641  
2019_12_11_10_31_02_922 1576081862922 407 405 428 210.155  
2019_12_11_10_31_02_922 1576081862922 407 405 1310 654.681  
2019_12_11_10_31_02_923 1576081862923 408 406 406 199.361  
2019_12_11_10_31_02_923 1576081862923 408 406 230 113.526  
2019_12_11_10_31_02_923 1576081862923 408 406 670 329.833  
2019_12_11_10_31_02_923 1576081862923 408 406 370 181.73  
2019_12_11_10_31_02_923 1576081862923 408 406 144 71.9162  
2019_12_11_10_31_02_923 1576081862923 408 405 234 115.466  
2019_12_11_10_31_02_932 1576081862932 417 414 217 107.222  
2019_12_11_10_31_02_944 1576081862944 429 426 186 92.2098  
2019_12_11_10_31_02_968 1576081862968 453 450 199 98.5017  
2019_12_11_10_31_03_075 1576081863075 560 557 208 102.861  
2019_12_11_10_31_03_087 1576081863087 572 569 1749 884.511  
2019_12_11_10_31_03_104 1576081863104 589 586 1406 704.453  
