1569611549988 2019_09_27_14_12_29_988 2.734449 0.485940  0.0000147857
2019_09_27_14_12_29_993 1569611549993 5 4 282 200.013  
2019_09_27_14_12_29_995 1569611549995 7 6 1405 1051.14  
2019_09_27_14_12_30_010 1569611550010 22 21 194 136.062  
2019_09_27_14_12_30_025 1569611550025 37 36 1382 1033.06  
2019_09_27_14_12_30_030 1569611550030 42 41 1326 989.141  
2019_09_27_14_12_30_086 1569611550086 98 97 362 258.496  
2019_09_27_14_12_30_101 1569611550101 113 112 303 215.332  
2019_09_27_14_12_30_113 1569611550113 125 124 951 699.227  
2019_09_27_14_12_30_116 1569611550116 128 127 372 265.829  
2019_09_27_14_12_30_122 1569611550122 134 133 1311 977.405  
2019_09_27_14_12_30_126 1569611550126 138 137 545 393.516  
2019_09_27_14_12_30_128 1569611550128 140 139 584 422.513  
2019_09_27_14_12_30_147 1569611550147 159 158 697 506.975  
2019_09_27_14_12_30_153 1569611550153 165 164 1208 897.133  
2019_09_27_14_12_30_157 1569611550157 169 168 413 295.951  
2019_09_27_14_12_30_161 1569611550161 173 172 58 38.0138  
2019_09_27_14_12_30_165 1569611550165 177 176 121 83.3146  
2019_09_27_14_12_30_166 1569611550166 178 176 1341 1000.89  
2019_09_27_14_12_30_172 1569611550172 184 182 567 409.864  
2019_09_27_14_12_30_174 1569611550174 186 184 933 685.494  
2019_09_27_14_12_30_179 1569611550179 191 189 1338 998.537  
2019_09_27_14_12_30_184 1569611550184 196 194 628 455.323  
2019_09_27_14_12_30_186 1569611550186 198 196 1352 1009.51  
2019_09_27_14_12_30_187 1569611550187 199 197 319 227.02  
2019_09_27_14_12_30_191 1569611550191 203 201 273 193.454  
2019_09_27_14_12_30_192 1569611550192 204 202 1281 953.969  
2019_09_27_14_12_30_194 1569611550194 206 204 1372 1025.2  
2019_09_27_14_12_30_214 1569611550214 226 224 1262 939.149  
2019_09_27_14_12_30_218 1569611550218 230 228 484 348.317  
2019_09_27_14_12_30_246 1569611550246 258 256 557 402.43  
2019_09_27_14_12_30_257 1569611550257 269 267 681 494.976  
2019_09_27_14_12_30_260 1569611550260 272 270 348 248.237  
2019_09_27_14_12_30_270 1569611550270 282 280 367 262.162  
2019_09_27_14_12_30_284 1569611550284 296 294 1245 925.906  
2019_09_27_14_12_30_285 1569611550285 297 294 96 65.3136  
2019_09_27_14_12_30_285 1569611550285 297 294 1304 971.932  
2019_09_27_14_12_30_290 1569611550290 302 299 365 260.695  
2019_09_27_14_12_30_297 1569611550297 309 306 158 110.015  
2019_09_27_14_12_30_301 1569611550301 313 310 239 168.714  
2019_09_27_14_12_30_312 1569611550312 324 321 123 84.7561  
2019_09_27_14_12_30_320 1569611550320 332 329 1349 1007.16  
2019_09_27_14_12_30_331 1569611550331 343 340 405 290.067  
2019_09_27_14_12_30_335 1569611550335 347 344 884 648.192  
2019_09_27_14_12_30_345 1569611550345 357 354 674 489.73  
2019_09_27_14_12_30_354 1569611550354 366 363 419 300.366  
2019_09_27_14_12_30_356 1569611550356 368 365 312 221.905  
2019_09_27_14_12_30_361 1569611550361 373 370 1453 1088.97  
2019_09_27_14_12_30_379 1569611550379 391 388 1386 1036.2  
2019_09_27_14_12_30_382 1569611550382 394 391 430 308.466  
2019_09_27_14_12_30_385 1569611550385 397 394 563 406.889  
2019_09_27_14_12_30_386 1569611550386 398 395 68 45.1907  
2019_09_27_14_12_30_397 1569611550397 409 405 1306 973.496  
2019_09_27_14_12_30_398 1569611550398 410 406 1340 1000.1  
2019_09_27_14_12_30_399 1569611550399 411 407 604 437.414  
2019_09_27_14_12_30_415 1569611550415 427 423 378 270.232  
2019_09_27_14_12_30_429 1569611550429 441 437 892 654.274  
2019_09_27_14_12_30_430 1569611550430 442 438 308 218.983  
2019_09_27_14_12_30_432 1569611550432 444 440 227 159.997  
2019_09_27_14_12_30_433 1569611550433 445 441 320 227.751  
2019_09_27_14_12_30_434 1569611550434 446 442 609 441.143  
2019_09_27_14_12_30_435 1569611550435 447 443 775 565.659  
2019_09_27_14_12_30_442 1569611550442 454 450 1332 993.838  
2019_09_27_14_12_30_453 1569611550453 465 461 343 244.576  
2019_09_27_14_12_30_454 1569611550454 466 462 574 415.07  
2019_09_27_14_12_30_455 1569611550455 467 463 266 188.355  
2019_09_27_14_12_30_456 1569611550456 468 464 1316 981.316  
2019_09_27_14_12_30_457 1569611550457 469 465 1342 1001.67  
2019_09_27_14_12_30_460 1569611550460 472 468 440 315.834  
2019_09_27_14_12_30_461 1569611550461 473 468 371 265.096  
2019_09_27_14_12_30_479 1569611550479 491 486 899 659.598  
2019_09_27_14_12_30_480 1569611550480 492 487 365 260.695  
2019_09_27_14_12_30_481 1569611550481 493 488 256 181.076  
2019_09_27_14_12_30_484 1569611550484 496 491 885 648.952  
2019_09_27_14_12_30_487 1569611550487 499 494 963 708.392  
2019_09_27_14_12_30_492 1569611550492 504 499 879 644.393  
2019_09_27_14_12_30_498 1569611550498 510 505 1331 993.055  
2019_09_27_14_12_30_503 1569611550503 515 510 313 222.636  
2019_09_27_14_12_30_507 1569611550507 519 514 354 252.632  
2019_09_27_14_12_30_518 1569611550518 530 525 1331 993.055  
2019_09_27_14_12_30_524 1569611550524 536 531 1302 970.369  
2019_09_27_14_12_30_540 1569611550540 552 547 767 559.626  
2019_09_27_14_12_30_545 1569611550545 557 552 552 398.714  
2019_09_27_14_12_30_550 1569611550550 562 557 1394 1042.49  
2019_09_27_14_12_30_555 1569611550555 567 562 119 81.8734  
2019_09_27_14_12_30_556 1569611550556 568 563 515 371.263  
2019_09_27_14_12_30_559 1569611550559 571 566 87 58.8411  
2019_09_27_14_12_30_569 1569611550569 581 575 340 242.38  
2019_09_27_14_12_30_575 1569611550575 587 581 316 224.828  
2019_09_27_14_12_30_588 1569611550588 600 594 421 301.838  
2019_09_27_14_12_30_589 1569611550589 601 595 224 157.818  
2019_09_27_14_12_30_592 1569611550592 604 598 1311 977.405  
2019_09_27_14_12_30_601 1569611550601 613 607 458 329.111  
2019_09_27_14_12_30_606 1569611550606 618 612 143 99.1822  
2019_09_27_14_12_30_608 1569611550608 620 614 430 308.466  
2019_09_27_14_12_30_611 1569611550611 623 617 137 94.8522  
2019_09_27_14_12_30_616 1569611550616 628 622 121 83.3146  
