1569592114737 2019_09_27_09_48_34_737 15.498519 0.481036  0.000016097
2019_09_27_09_48_34_738 1569592114738 1 0 649 334.471  
2019_09_27_09_48_34_738 1569592114738 1 0 1530 789.165  
2019_09_27_09_48_34_738 1569592114738 1 0 64 46.3508  
2019_09_27_09_48_34_738 1569592114738 1 0 980 502.373  
2019_09_27_09_48_34_738 1569592114738 1 0 1273 653.943  
2019_09_27_09_48_34_738 1569592114738 1 0 596 307.914  
2019_09_27_09_48_34_739 1569592114739 2 1 205 114.787  
2019_09_27_09_48_34_739 1569592114739 2 1 160 92.8764  
2019_09_27_09_48_34_739 1569592114739 2 1 254 138.72  
2019_09_27_09_48_34_739 1569592114739 2 1 459 239.685  
2019_09_27_09_48_34_739 1569592114739 2 1 138 82.188  
2019_09_27_09_48_34_739 1569592114739 2 1 283 152.921  
2019_09_27_09_48_34_739 1569592114739 2 1 873 447.711  
2019_09_27_09_48_34_739 1569592114739 2 1 166 95.7941  
2019_09_27_09_48_34_739 1569592114739 2 1 1729 895.331  
2019_09_27_09_48_34_739 1569592114739 2 1 210 117.226  
2019_09_27_09_48_34_739 1569592114739 2 1 1317 676.943  
2019_09_27_09_48_34_739 1569592114739 2 0 732 376.242  
2019_09_27_09_48_34_739 1569592114739 2 0 633 326.444  
2019_09_27_09_48_34_739 1569592114739 2 0 793 407.083  
2019_09_27_09_48_34_739 1569592114739 2 0 223 123.57  
2019_09_27_09_48_34_739 1569592114739 2 0 265 144.103  
2019_09_27_09_48_34_739 1569592114739 2 0 222 123.082  
2019_09_27_09_48_34_739 1569592114739 2 0 208 116.25  
2019_09_27_09_48_34_739 1569592114739 2 0 342 181.896  
2019_09_27_09_48_34_739 1569592114739 2 0 1265 649.768  
2019_09_27_09_48_34_739 1569592114739 2 0 515 267.501  
2019_09_27_09_48_34_739 1569592114739 2 0 70 49.2499  
2019_09_27_09_48_34_739 1569592114739 2 0 227 125.523  
2019_09_27_09_48_34_739 1569592114739 2 0 750 385.33  
2019_09_27_09_48_34_739 1569592114739 2 0 424 222.352  
2019_09_27_09_48_34_739 1569592114739 2 0 1299 667.526  
2019_09_27_09_48_34_739 1569592114739 2 0 204 114.3  
2019_09_27_09_48_34_739 1569592114739 2 0 242 132.852  
2019_09_27_09_48_34_739 1569592114739 2 0 1190 610.726  
2019_09_27_09_48_34_739 1569592114739 2 0 251 137.253  
2019_09_27_09_48_34_739 1569592114739 2 0 264 143.614  
2019_09_27_09_48_34_740 1569592114740 3 0 181 103.093  
2019_09_27_09_48_34_740 1569592114740 3 0 469 244.645  
2019_09_27_09_48_34_749 1569592114749 12 9 792 406.576  
2019_09_27_09_48_34_751 1569592114751 14 11 67 47.8002  
2019_09_27_09_48_34_755 1569592114755 18 15 255 139.209  
2019_09_27_09_48_34_772 1569592114772 35 32 160 92.8764  
2019_09_27_09_48_34_783 1569592114783 46 43 279 150.961  
2019_09_27_09_48_34_787 1569592114787 50 47 148 87.0444  
