1569533183828 2019_09_26_17_26_23_828 2.734449 0.485724  0.0000147857
2019_09_26_17_26_23_829 1569533183829 1 0 689 354.574  
2019_09_26_17_26_23_829 1569533183829 1 0 568 293.92  
2019_09_26_17_26_23_830 1569533183830 2 1 2778 1476.04  
2019_09_26_17_26_23_830 1569533183830 2 1 735 377.756  
2019_09_26_17_26_23_830 1569533183830 2 1 162 93.8488  
2019_09_26_17_26_23_830 1569533183830 2 1 319 170.587  
2019_09_26_17_26_23_830 1569533183830 2 1 100 63.7631  
2019_09_26_17_26_23_830 1569533183830 2 1 2161 1130.19  
2019_09_26_17_26_23_830 1569533183830 2 1 230 126.988  
2019_09_26_17_26_23_830 1569533183830 2 1 1273 653.943  
2019_09_26_17_26_23_830 1569533183830 2 1 904 463.51  
2019_09_26_17_26_23_830 1569533183830 2 1 454 237.207  
2019_09_26_17_26_23_830 1569533183830 2 1 1817 942.685  
2019_09_26_17_26_23_830 1569533183830 2 1 584 301.914  
2019_09_26_17_26_23_830 1569533183830 2 1 1214 623.2  
2019_09_26_17_26_23_830 1569533183830 2 1 2216 1160.52  
2019_09_26_17_26_23_830 1569533183830 2 1 1574 812.529  
2019_09_26_17_26_23_830 1569533183830 2 0 626 322.935  
2019_09_26_17_26_23_830 1569533183830 2 0 2560 1352.44  
2019_09_26_17_26_23_830 1569533183830 2 0 1304 670.141  
2019_09_26_17_26_23_830 1569533183830 2 0 206 115.275  
2019_09_26_17_26_23_830 1569533183830 2 0 1084 555.856  
2019_09_26_17_26_23_830 1569533183830 2 0 2018 1051.78  
2019_09_26_17_26_23_830 1569533183830 2 0 270 146.552  
2019_09_26_17_26_23_830 1569533183830 2 0 2105 1099.41  
2019_09_26_17_26_23_830 1569533183830 2 0 1206 619.04  
2019_09_26_17_26_23_830 1569533183830 2 0 1348 693.185  
2019_09_26_17_26_23_830 1569533183830 2 0 1608 830.626  
2019_09_26_17_26_23_830 1569533183830 2 0 1062 544.514  
2019_09_26_17_26_23_830 1569533183830 2 0 198 111.375  
2019_09_26_17_26_23_830 1569533183830 2 0 552 285.935  
2019_09_26_17_26_23_830 1569533183830 2 0 1406 723.656  
2019_09_26_17_26_23_830 1569533183830 2 0 302 162.24  
2019_09_26_17_26_23_831 1569533183831 3 1 263 143.124  
2019_09_26_17_26_23_835 1569533183835 7 4 292 157.334  
2019_09_26_17_26_23_837 1569533183837 9 6 237 130.408  
2019_09_26_17_26_23_841 1569533183841 13 10 220 122.106  
2019_09_26_17_26_23_849 1569533183849 21 18 271 147.041  
2019_09_26_17_26_23_851 1569533183851 23 20 651 335.475  
2019_09_26_17_26_23_854 1569533183854 26 23 257 140.188  
2019_09_26_17_26_23_856 1569533183856 28 25 255 139.209  
2019_09_26_17_26_23_857 1569533183857 29 26 50 39.5906  
2019_09_26_17_26_23_858 1569533183858 30 27 273 148.021  
2019_09_26_17_26_23_860 1569533183860 32 29 265 144.103  
2019_09_26_17_26_23_861 1569533183861 33 30 213 118.689  
2019_09_26_17_26_23_865 1569533183865 37 34 251 137.253  
2019_09_26_17_26_23_869 1569533183869 41 38 230 126.988  
2019_09_26_17_26_23_870 1569533183870 42 39 164 94.8214  
2019_09_26_17_26_23_871 1569533183871 43 40 265 144.103  
2019_09_26_17_26_23_873 1569533183873 45 42 288 155.372  
2019_09_26_17_26_23_874 1569533183874 46 43 256 139.699  
2019_09_26_17_26_23_877 1569533183877 49 45 263 143.124  
2019_09_26_17_26_23_878 1569533183878 50 46 276 149.491  
2019_09_26_17_26_23_880 1569533183880 52 48 265 144.103  
2019_09_26_17_26_23_882 1569533183882 54 50 296 159.296  
2019_09_26_17_26_23_883 1569533183883 55 51 273 148.021  
2019_09_26_17_26_23_891 1569533183891 63 59 282 152.431  
2019_09_26_17_26_23_892 1569533183892 64 60 265 144.103  
2019_09_26_17_26_23_895 1569533183895 67 63 270 146.552  
2019_09_26_17_26_23_896 1569533183896 68 64 261 142.145  
2019_09_26_17_26_23_897 1569533183897 69 65 553 286.434  
2019_09_26_17_26_23_898 1569533183898 70 66 2280 1195.94  
2019_09_26_17_26_23_899 1569533183899 71 67 217 120.641  
2019_09_26_17_26_23_900 1569533183900 72 68 148 87.0444  
2019_09_26_17_26_23_902 1569533183902 74 70 277 149.981  
2019_09_26_17_26_23_903 1569533183903 75 71 147 86.5587  
2019_09_26_17_26_23_904 1569533183904 76 72 386 203.577  
2019_09_26_17_26_23_905 1569533183905 77 73 267 145.083  
2019_09_26_17_26_23_907 1569533183907 79 74 273 148.021  
2019_09_26_17_26_23_908 1569533183908 80 75 211 117.714  
2019_09_26_17_26_23_910 1569533183910 82 77 274 148.511  
2019_09_26_17_26_23_911 1569533183911 83 78 302 162.24  
2019_09_26_17_26_23_913 1569533183913 85 80 162 93.8488  
2019_09_26_17_26_23_914 1569533183914 86 81 263 143.124  
2019_09_26_17_26_23_919 1569533183919 91 86 332 176.977  
2019_09_26_17_26_23_921 1569533183921 93 88 269 146.062  
2019_09_26_17_26_23_923 1569533183923 95 90 572 295.918  
2019_09_26_17_26_23_925 1569533183925 97 92 267 145.083  
2019_09_26_17_26_23_926 1569533183926 98 93 259 141.167  
2019_09_26_17_26_23_927 1569533183927 99 94 261 142.145  
2019_09_26_17_26_23_928 1569533183928 100 95 376 198.644  
2019_09_26_17_26_23_931 1569533183931 103 98 261 142.145  
2019_09_26_17_26_23_932 1569533183932 104 99 109 68.1227  
2019_09_26_17_26_23_935 1569533183935 107 102 190 107.476  
2019_09_26_17_26_23_936 1569533183936 108 103 275 149.001  
2019_09_26_17_26_23_937 1569533183937 109 104 264 143.614  
2019_09_26_17_26_23_939 1569533183939 111 105 274 148.511  
2019_09_26_17_26_23_940 1569533183940 112 106 272 147.531  
2019_09_26_17_26_23_941 1569533183941 113 107 302 162.24  
2019_09_26_17_26_23_942 1569533183942 114 108 276 149.491  
2019_09_26_17_26_23_946 1569533183946 118 112 1015 520.334  
2019_09_26_17_26_23_947 1569533183947 119 113 267 145.083  
2019_09_26_17_26_23_949 1569533183949 121 115 262 142.635  
2019_09_26_17_26_23_958 1569533183958 130 124 284 153.411  
2019_09_26_17_26_23_962 1569533183962 134 128 323 172.553  
2019_09_26_17_26_23_963 1569533183963 135 129 255 139.209  
2019_09_26_17_26_23_967 1569533183967 139 133 679 349.543  
2019_09_26_17_26_23_971 1569533183971 143 137 738 379.27  
2019_09_26_17_26_23_972 1569533183972 144 138 275 149.001  
2019_09_26_17_26_23_974 1569533183974 146 140 343 182.388  
2019_09_26_17_26_23_975 1569533183975 147 141 451 235.72  
2019_09_26_17_26_23_980 1569533183980 152 146 242 132.852  
2019_09_26_17_26_23_981 1569533183981 153 147 135 80.7317  
2019_09_26_17_26_23_982 1569533183982 154 147 261 142.145  
2019_09_26_17_26_23_987 1569533183987 159 152 246 134.808  
2019_09_26_17_26_23_988 1569533183988 160 153 253 138.231  
2019_09_26_17_26_23_991 1569533183991 163 156 285 153.901  
2019_09_26_17_26_23_992 1569533183992 164 157 277 149.981  
2019_09_26_17_26_23_996 1569533183996 168 161 284 153.411  
2019_09_26_17_26_24_005 1569533184005 177 170 276 149.491  
2019_09_26_17_26_24_006 1569533184006 178 171 243 133.341  
2019_09_26_17_26_24_009 1569533184009 181 174 276 149.491  
2019_09_26_17_26_24_012 1569533184012 184 177 288 155.372  
2019_09_26_17_26_24_013 1569533184013 185 178 219 121.617  
2019_09_26_17_26_24_017 1569533184017 189 182 290 156.353  
2019_09_26_17_26_24_018 1569533184018 190 183 171 98.2264  
2019_09_26_17_26_24_023 1569533184023 195 188 285 153.901  
2019_09_26_17_26_24_026 1569533184026 198 191 263 143.124  
2019_09_26_17_26_24_027 1569533184027 199 192 258 140.677  
2019_09_26_17_26_24_028 1569533184028 200 193 264 143.614  
2019_09_26_17_26_24_029 1569533184029 201 193 259 141.167  
2019_09_26_17_26_24_030 1569533184030 202 194 284 153.411  
2019_09_26_17_26_24_031 1569533184031 203 195 237 130.408  
2019_09_26_17_26_24_033 1569533184033 205 197 233 128.454  
2019_09_26_17_26_24_037 1569533184037 209 201 232 127.965  
2019_09_26_17_26_24_041 1569533184041 213 205 429 224.825  
2019_09_26_17_26_24_042 1569533184042 214 206 202 113.325  
2019_09_26_17_26_24_043 1569533184043 215 207 250 136.764  
2019_09_26_17_26_24_044 1569533184044 216 208 162 93.8488  
2019_09_26_17_26_24_045 1569533184045 217 209 286 154.391  
2019_09_26_17_26_24_048 1569533184048 220 212 283 152.921  
2019_09_26_17_26_24_056 1569533184056 228 220 248 135.785  
2019_09_26_17_26_24_059 1569533184059 231 223 257 140.188  
2019_09_26_17_26_24_060 1569533184060 232 224 1405 723.13  
2019_09_26_17_26_24_063 1569533184063 235 227 4095 2255.27  
2019_09_26_17_26_24_064 1569533184064 236 228 2152 1125.23  
2019_09_26_17_26_24_068 1569533184068 240 232 281 151.941  
2019_09_26_17_26_24_070 1569533184070 242 233 250 136.764  
2019_09_26_17_26_24_073 1569533184073 245 236 263 143.124  
2019_09_26_17_26_24_075 1569533184075 247 238 280 151.451  
2019_09_26_17_26_24_084 1569533184084 256 247 283 152.921  
2019_09_26_17_26_24_091 1569533184091 263 254 301 161.749  
2019_09_26_17_26_24_093 1569533184093 265 256 255 139.209  
2019_09_26_17_26_24_097 1569533184097 269 260 327 174.519  
2019_09_26_17_26_24_099 1569533184099 271 262 267 145.083  
2019_09_26_17_26_24_100 1569533184100 272 263 241 132.363  
2019_09_26_17_26_24_103 1569533184103 275 266 356 188.787  
2019_09_26_17_26_24_105 1569533184105 277 268 316 169.113  
2019_09_26_17_26_24_106 1569533184106 278 269 267 145.083  
2019_09_26_17_26_24_108 1569533184108 280 271 436 228.29  
2019_09_26_17_26_24_110 1569533184110 282 273 1366 702.63  
2019_09_26_17_26_24_111 1569533184111 283 274 845 433.468  
2019_09_26_17_26_24_113 1569533184113 285 276 212 118.202  
2019_09_26_17_26_24_114 1569533184114 286 277 263 143.124  
2019_09_26_17_26_24_116 1569533184116 288 278 279 150.961  
2019_09_26_17_26_24_117 1569533184117 289 279 450 235.224  
2019_09_26_17_26_24_121 1569533184121 293 283 275 149.001  
2019_09_26_17_26_24_122 1569533184122 294 284 275 149.001  
2019_09_26_17_26_24_130 1569533184130 302 292 224 124.058  
2019_09_26_17_26_24_134 1569533184134 306 296 253 138.231  
2019_09_26_17_26_24_135 1569533184135 307 297 251 137.253  
2019_09_26_17_26_24_137 1569533184137 309 299 251 137.253  
2019_09_26_17_26_24_138 1569533184138 310 300 156 90.9319  
2019_09_26_17_26_24_142 1569533184142 314 304 668 344.013  
2019_09_26_17_26_24_143 1569533184143 315 305 273 148.021  
2019_09_26_17_26_24_145 1569533184145 317 307 279 150.961  
2019_09_26_17_26_24_146 1569533184146 318 308 273 148.021  
2019_09_26_17_26_24_150 1569533184150 322 312 281 151.941  
2019_09_26_17_26_24_151 1569533184151 323 313 245 134.319  
2019_09_26_17_26_24_157 1569533184157 329 319 170 97.7398  
2019_09_26_17_26_24_158 1569533184158 330 320 258 140.677  
2019_09_26_17_26_24_161 1569533184161 333 323 261 142.145  
2019_09_26_17_26_24_162 1569533184162 334 323 177 101.146  
2019_09_26_17_26_24_164 1569533184164 336 325 200 112.35  
2019_09_26_17_26_24_165 1569533184165 337 326 282 152.431  
2019_09_26_17_26_24_166 1569533184166 338 327 239 131.386  
2019_09_26_17_26_24_167 1569533184167 339 328 257 140.188  
2019_09_26_17_26_24_171 1569533184171 343 332 272 147.531  
2019_09_26_17_26_24_174 1569533184174 346 335 267 145.083  
2019_09_26_17_26_24_175 1569533184175 347 336 259 141.167  
2019_09_26_17_26_24_183 1569533184183 355 344 243 133.341  
2019_09_26_17_26_24_199 1569533184199 371 360 184 104.554  
2019_09_26_17_26_24_201 1569533184201 373 362 260 141.656  
2019_09_26_17_26_24_207 1569533184207 379 368 245 134.319  
2019_09_26_17_26_24_208 1569533184208 380 369 259 141.167  
2019_09_26_17_26_24_210 1569533184210 382 371 254 138.72  
2019_09_26_17_26_24_213 1569533184213 385 374 729 374.728  
2019_09_26_17_26_24_214 1569533184214 386 375 178 101.633  
2019_09_26_17_26_24_217 1569533184217 389 378 283 152.921  
2019_09_26_17_26_24_218 1569533184218 390 378 278 150.471  
2019_09_26_17_26_24_223 1569533184223 395 383 157 91.4179  
2019_09_26_17_26_24_224 1569533184224 396 384 285 153.901  
2019_09_26_17_26_24_226 1569533184226 398 386 246 134.808  
2019_09_26_17_26_24_232 1569533184232 404 392 272 147.531  
2019_09_26_17_26_24_233 1569533184233 405 393 803 412.15  
2019_09_26_17_26_24_235 1569533184235 407 395 269 146.062  
2019_09_26_17_26_24_236 1569533184236 408 396 241 132.363  
2019_09_26_17_26_24_239 1569533184239 411 399 270 146.552  
2019_09_26_17_26_24_242 1569533184242 414 402 251 137.253  
2019_09_26_17_26_24_246 1569533184246 418 406 245 134.319  
2019_09_26_17_26_24_250 1569533184250 422 410 186 105.528  
2019_09_26_17_26_24_257 1569533184257 429 417 337 179.436  
2019_09_26_17_26_24_258 1569533184258 430 418 268 145.572  
2019_09_26_17_26_24_262 1569533184262 434 422 281 151.941  
2019_09_26_17_26_24_264 1569533184264 436 424 245 134.319  
2019_09_26_17_26_24_266 1569533184266 438 426 365 193.221  
2019_09_26_17_26_24_269 1569533184269 441 428 144 85.1015  
2019_09_26_17_26_24_270 1569533184270 442 429 99 63.2788  
2019_09_26_17_26_24_271 1569533184271 443 430 253 138.231  
2019_09_26_17_26_24_277 1569533184277 449 436 148 87.0444  
2019_09_26_17_26_24_278 1569533184278 450 437 218 121.129  
